EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PERPIGNAN (STAID: 36).
Blended and updated with sources: 104959 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
104959,19310101,   34,    0
104959,19310102,   42,    0
104959,19310103,    0,    0
104959,19310104,   37,    0
104959,19310105,   84,    0
104959,19310106,   75,    0
104959,19310107,   68,    0
104959,19310108,   78,    0
104959,19310109,   77,    0
104959,19310110,   77,    0
104959,19310111,   81,    0
104959,19310112,   72,    0
104959,19310113,    0,    0
104959,19310114,   72,    0
104959,19310115,   81,    0
104959,19310116,   86,    0
104959,19310117,   50,    0
104959,19310118,    7,    0
104959,19310119,   81,    0
104959,19310120,   70,    0
104959,19310121,   77,    0
104959,19310122,   29,    0
104959,19310123,   72,    0
104959,19310124,    0,    0
104959,19310125,   31,    0
104959,19310126,   61,    0
104959,19310127,    2,    0
104959,19310128,   42,    0
104959,19310129,   62,    0
104959,19310130,   60,    0
104959,19310131,   71,    0
104959,19310201,   42,    0
104959,19310202,   91,    0
104959,19310203,   69,    0
104959,19310204,   49,    0
104959,19310205,   66,    0
104959,19310206,   66,    0
104959,19310207,    0,    0
104959,19310208,   82,    0
104959,19310209,   82,    0
104959,19310210,   44,    0
104959,19310211,   70,    0
104959,19310212,   18,    0
104959,19310213,   69,    0
104959,19310214,   42,    0
104959,19310215,   77,    0
104959,19310216,   40,    0
104959,19310217,   73,    0
104959,19310218,   43,    0
104959,19310219,   48,    0
104959,19310220,   82,    0
104959,19310221,   25,    0
104959,19310222,   98,    0
104959,19310223,   92,    0
104959,19310224,   74,    0
104959,19310225,  100,    0
104959,19310226,   85,    0
104959,19310227,   68,    0
104959,19310228,   45,    0
104959,19310301,   40,    0
104959,19310302,   14,    0
104959,19310303,   18,    0
104959,19310304,   10,    0
104959,19310305,   88,    0
104959,19310306,   41,    0
104959,19310307,   21,    0
104959,19310308,   46,    0
104959,19310309,   41,    0
104959,19310310,   75,    0
104959,19310311,   24,    0
104959,19310312,   68,    0
104959,19310313,    0,    0
104959,19310314,    2,    0
104959,19310315,    0,    0
104959,19310316,    0,    0
104959,19310317,   60,    0
104959,19310318,   34,    0
104959,19310319,    4,    0
104959,19310320,   18,    0
104959,19310321,   48,    0
104959,19310322,  113,    0
104959,19310323,   65,    0
104959,19310324,   30,    0
104959,19310325,  111,    0
104959,19310326,  112,    0
104959,19310327,  114,    0
104959,19310328,  107,    0
104959,19310329,  113,    0
104959,19310330,   22,    0
104959,19310331,  102,    0
104959,19310401,    8,    0
104959,19310402,   42,    0
104959,19310403,   38,    0
104959,19310404,  112,    0
104959,19310405,  112,    0
104959,19310406,  101,    0
104959,19310407,   66,    0
104959,19310408,  117,    0
104959,19310409,  121,    0
104959,19310410,   90,    0
104959,19310411,  121,    0
104959,19310412,   99,    0
104959,19310413,   64,    0
104959,19310414,  121,    0
104959,19310415,  122,    0
104959,19310416,   86,    0
104959,19310417,   34,    0
104959,19310418,   70,    0
104959,19310419,   97,    0
104959,19310420,    2,    0
104959,19310421,   31,    0
104959,19310422,  107,    0
104959,19310423,   99,    0
104959,19310424,   71,    0
104959,19310425,  124,    0
104959,19310426,    8,    0
104959,19310427,  130,    0
104959,19310428,  120,    0
104959,19310429,  108,    0
104959,19310430,   18,    0
104959,19310501,    7,    0
104959,19310502,    0,    0
104959,19310503,   17,    0
104959,19310504,   36,    0
104959,19310505,  132,    0
104959,19310506,   47,    0
104959,19310507,  113,    0
104959,19310508,   51,    0
104959,19310509,  104,    0
104959,19310510,  130,    0
104959,19310511,   38,    0
104959,19310512,  125,    0
104959,19310513,  133,    0
104959,19310514,  107,    0
104959,19310515,  116,    0
104959,19310516,   78,    0
104959,19310517,   29,    0
104959,19310518,   79,    0
104959,19310519,   43,    0
104959,19310520,   10,    0
104959,19310521,  133,    0
104959,19310522,  133,    0
104959,19310523,    2,    0
104959,19310524,   99,    0
104959,19310525,  121,    0
104959,19310526,   91,    0
104959,19310527,   45,    0
104959,19310528,   98,    0
104959,19310529,  115,    0
104959,19310530,   18,    0
104959,19310531,   73,    0
104959,19310601,  107,    0
104959,19310602,   71,    0
104959,19310603,  135,    0
104959,19310604,   50,    0
104959,19310605,   61,    0
104959,19310606,   13,    0
104959,19310607,   99,    0
104959,19310608,   78,    0
104959,19310609,  142,    0
104959,19310610,  137,    0
104959,19310611,   67,    0
104959,19310612,  105,    0
104959,19310613,  128,    0
104959,19310614,  125,    0
104959,19310615,  121,    0
104959,19310616,  141,    0
104959,19310617,   76,    0
104959,19310618,  139,    0
104959,19310619,  135,    0
104959,19310620,   83,    0
104959,19310621,   41,    0
104959,19310622,  127,    0
104959,19310623,  103,    0
104959,19310624,   42,    0
104959,19310625,   78,    0
104959,19310626,  109,    0
104959,19310627,   82,    0
104959,19310628,  138,    0
104959,19310629,  107,    0
104959,19310630,  130,    0
104959,19310701,   80,    0
104959,19310702,   63,    0
104959,19310703,   89,    0
104959,19310704,   87,    0
104959,19310705,   96,    0
104959,19310706,   25,    0
104959,19310707,   10,    0
104959,19310708,   70,    0
104959,19310709,  116,    0
104959,19310710,  133,    0
104959,19310711,  111,    0
104959,19310712,  141,    0
104959,19310713,   97,    0
104959,19310714,  135,    0
104959,19310715,   31,    0
104959,19310716,  110,    0
104959,19310717,  134,    0
104959,19310718,  138,    0
104959,19310719,  123,    0
104959,19310720,   82,    0
104959,19310721,  128,    0
104959,19310722,  136,    0
104959,19310723,   70,    0
104959,19310724,  114,    0
104959,19310725,    9,    0
104959,19310726,  115,    0
104959,19310727,  105,    0
104959,19310728,  103,    0
104959,19310729,  135,    0
104959,19310730,  133,    0
104959,19310731,   98,    0
104959,19310801,   40,    0
104959,19310802,   67,    0
104959,19310803,    3,    0
104959,19310804,   95,    0
104959,19310805,  134,    0
104959,19310806,   34,    0
104959,19310807,   81,    0
104959,19310808,   90,    0
104959,19310809,   28,    0
104959,19310810,  111,    0
104959,19310811,  126,    0
104959,19310812,  127,    0
104959,19310813,  126,    0
104959,19310814,   99,    0
104959,19310815,   58,    0
104959,19310816,   97,    0
104959,19310817,  111,    0
104959,19310818,  128,    0
104959,19310819,  114,    0
104959,19310820,    7,    0
104959,19310821,   87,    0
104959,19310822,   80,    0
