EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PERPIGNAN (STAID: 36).
Blended and updated with sources: 100115 907747 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100115,19241101,-9999,    9
100115,19241102,-9999,    9
100115,19241103,-9999,    9
100115,19241104,-9999,    9
100115,19241105,-9999,    9
100115,19241106,-9999,    9
100115,19241107,-9999,    9
100115,19241108,-9999,    9
100115,19241109,-9999,    9
100115,19241110,-9999,    9
100115,19241111,-9999,    9
100115,19241112,-9999,    9
100115,19241113,-9999,    9
100115,19241114,-9999,    9
100115,19241115,-9999,    9
100115,19241116,-9999,    9
100115,19241117,   65,    0
100115,19241118,   30,    0
100115,19241119,   30,    0
100115,19241120,   54,    0
100115,19241121,   60,    0
100115,19241122,   22,    0
100115,19241123,   29,    0
100115,19241124,   72,    0
100115,19241125,  138,    0
100115,19241126,   93,    0
100115,19241127,  100,    0
100115,19241128,   96,    0
100115,19241129,   30,    0
100115,19241130,   51,    0
100115,19241201,   68,    0
100115,19241202,   87,    0
100115,19241203,   90,    0
100115,19241204,   92,    0
100115,19241205,  102,    0
100115,19241206,  141,    0
100115,19241207,   90,    0
100115,19241208,    8,    0
100115,19241209,   12,    0
100115,19241210,   -3,    0
100115,19241211,   -4,    0
100115,19241212,   23,    0
100115,19241213,   42,    0
100115,19241214,   20,    0
100115,19241215,   50,    0
100115,19241216,   46,    0
100115,19241217,   69,    0
100115,19241218,   76,    0
100115,19241219,   24,    0
100115,19241220,   51,    0
100115,19241221,   -8,    0
100115,19241222,    8,    0
100115,19241223,   -6,    0
100115,19241224,   24,    0
100115,19241225,   26,    0
100115,19241226,   43,    0
100115,19241227,   35,    0
100115,19241228,   32,    0
100115,19241229,   72,    0
100115,19241230,   20,    0
100115,19241231,   14,    0
100115,19250101,   49,    0
100115,19250102,   10,    0
100115,19250103,   16,    0
100115,19250104,    7,    0
100115,19250105,   52,    0
100115,19250106,   42,    0
100115,19250107,   44,    0
100115,19250108,  -12,    0
100115,19250109,  -18,    0
100115,19250110,   50,    0
100115,19250111,  -18,    0
100115,19250112,   18,    0
100115,19250113,  -11,    0
100115,19250114,   13,    0
100115,19250115,   -2,    0
100115,19250116,   10,    0
100115,19250117,   61,    0
100115,19250118,   16,    0
100115,19250119,    0,    0
100115,19250120,    2,    0
100115,19250121,   -9,    0
100115,19250122,   28,    0
100115,19250123,   18,    0
100115,19250124,   23,    0
100115,19250125,   18,    0
100115,19250126,   62,    0
100115,19250127,   10,    0
100115,19250128,   40,    0
100115,19250129,   60,    0
100115,19250130,   84,    0
100115,19250131,   94,    0
100115,19250201,   73,    0
100115,19250202,   67,    0
100115,19250203,   32,    0
100115,19250204,   69,    0
100115,19250205,   18,    0
100115,19250206,   -4,    0
100115,19250207,   19,    0
100115,19250208,   33,    0
100115,19250209,  103,    0
100115,19250210,   37,    0
100115,19250211,   34,    0
100115,19250212,   69,    0
100115,19250213,   -6,    0
100115,19250214,   58,    0
100115,19250215,   88,    0
100115,19250216,   18,    0
100115,19250217,   17,    0
100115,19250218,   34,    0
100115,19250219,   39,    0
100115,19250220,   34,    0
100115,19250221,   38,    0
100115,19250222,   36,    0
100115,19250223,   18,    0
100115,19250224,   42,    0
100115,19250225,   40,    0
100115,19250226,   44,    0
100115,19250227,   50,    0
100115,19250228,   32,    0
100115,19250301,   -8,    0
100115,19250302,   34,    0
100115,19250303,    4,    0
100115,19250304,   53,    0
100115,19250305,   58,    0
100115,19250306,   42,    0
100115,19250307,   73,    0
100115,19250308,   24,    0
100115,19250309,   52,    0
100115,19250310,   36,    0
100115,19250311,    6,    0
100115,19250312,   40,    0
100115,19250313,    0,    0
100115,19250314,  -34,    0
100115,19250315,   18,    0
100115,19250316,   70,    0
100115,19250317,   58,    0
100115,19250318,   67,    0
100115,19250319,   16,    0
100115,19250320,   44,    0
100115,19250321,   84,    0
100115,19250322,   62,    0
100115,19250323,   32,    0
100115,19250324,   40,    0
100115,19250325,   52,    0
100115,19250326,   40,    0
100115,19250327,   55,    0
100115,19250328,   43,    0
100115,19250329,   57,    0
100115,19250330,   58,    0
100115,19250331,   28,    0
100115,19250401,   56,    0
100115,19250402,   43,    0
100115,19250403,   68,    0
100115,19250404,   78,    0
100115,19250405,   48,    0
100115,19250406,   73,    0
100115,19250407,   95,    0
100115,19250408,   84,    0
100115,19250409,   75,    0
100115,19250410,  104,    0
100115,19250411,   88,    0
100115,19250412,   93,    0
100115,19250413,   88,    0
100115,19250414,  101,    0
100115,19250415,  125,    0
100115,19250416,  122,    0
100115,19250417,  105,    0
100115,19250418,   68,    0
100115,19250419,  128,    0
100115,19250420,  128,    0
100115,19250421,  108,    0
100115,19250422,   93,    0
100115,19250423,  112,    0
100115,19250424,  118,    0
100115,19250425,   74,    0
100115,19250426,   92,    0
100115,19250427,   46,    0
100115,19250428,   50,    0
100115,19250429,  124,    0
