EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 QQ   : daily Global radiation in W/m2
23-27 Q_QQ : quality code for QQ (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ROMA CIAMPINO (STAID: 176).
Blended and updated with sources: 190947 209921 916239 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   QQ, Q_QQ
190947,19640101,   73,    0
190947,19640102,-9999,    1
190947,19640103,   88,    0
190947,19640104,   70,    0
190947,19640105,   88,    0
190947,19640106,   91,    0
190947,19640107,   82,    0
190947,19640108,   89,    0
190947,19640109,   87,    0
190947,19640110,   60,    0
190947,19640111,   92,    0
190947,19640112,-9999,    1
190947,19640113,-9999,    1
190947,19640114,   23,    0
190947,19640115,   59,    0
190947,19640116,   82,    0
190947,19640117,  100,    0
190947,19640118,   94,    0
190947,19640119,  100,    0
190947,19640120,  109,    0
190947,19640121,  106,    0
190947,19640122,  108,    0
190947,19640123,  108,    0
190947,19640124,   93,    0
190947,19640125,  106,    0
190947,19640126,   42,    0
190947,19640127,   77,    0
190947,19640128,  101,    0
190947,19640129,   51,    0
190947,19640130,   90,    0
190947,19640131,   74,    0
190947,19640201,  121,    0
190947,19640202,  128,    0
190947,19640203,  126,    0
190947,19640204,  118,    0
190947,19640205,   16,    0
190947,19640206,  108,    0
190947,19640207,  117,    0
190947,19640208,  146,    0
190947,19640209,  140,    0
190947,19640210,  138,    0
190947,19640211,  138,    0
190947,19640212,   36,    0
190947,19640213,  109,    0
190947,19640214,  112,    0
190947,19640215,   32,    0
190947,19640216,  112,    0
190947,19640217,   48,    0
190947,19640218,   86,    0
190947,19640219,   25,    0
190947,19640220,-9999,    1
190947,19640221,  166,    0
190947,19640222,  112,    0
190947,19640223,   70,    0
190947,19640224,   83,    0
190947,19640225,   44,    0
190947,19640226,   83,    0
190947,19640227,   69,    0
190947,19640228,  152,    0
190947,19640229,   95,    0
190947,19640301,  119,    0
190947,19640302,  137,    0
190947,19640303,   77,    0
190947,19640304,  157,    0
190947,19640305,   61,    0
190947,19640306,   45,    0
190947,19640307,  173,    0
190947,19640308,   51,    0
190947,19640309,   93,    0
190947,19640310,   56,    0
190947,19640311,  153,    0
190947,19640312,  119,    0
190947,19640313,   62,    0
190947,19640314,   74,    0
190947,19640315,   53,    0
190947,19640316,  128,    0
190947,19640317,  196,    0
190947,19640318,  139,    0
190947,19640319,  208,    0
190947,19640320,  107,    0
190947,19640321,  170,    0
190947,19640322,  202,    0
190947,19640323,  179,    0
190947,19640324,  232,    0
190947,19640325,  221,    0
190947,19640326,  141,    0
190947,19640327,   26,    0
190947,19640328,   82,    0
190947,19640329,-9999,    1
190947,19640330,  142,    0
190947,19640331,  173,    0
190947,19640401,-9999,    1
190947,19640402,  133,    0
190947,19640403,   79,    0
190947,19640404,   43,    0
190947,19640405,  194,    0
190947,19640406,  175,    0
190947,19640407,  179,    0
190947,19640408,  150,    0
190947,19640409,  244,    0
190947,19640410,  219,    0
190947,19640411,-9999,    1
190947,19640412,  161,    0
190947,19640413,  246,    0
190947,19640414,  120,    0
190947,19640415,  258,    0
190947,19640416,  234,    0
190947,19640417,  275,    0
190947,19640418,  238,    0
190947,19640419,  237,    0
190947,19640420,  122,    0
190947,19640421,  176,    0
190947,19640422,  245,    0
190947,19640423,  264,    0
190947,19640424,  168,    0
190947,19640425,  217,    0
190947,19640426,  232,    0
190947,19640427,  288,    0
190947,19640428,  282,    0
190947,19640429,  230,    0
190947,19640430,  169,    0
190947,19640501,  192,    0
190947,19640502,  275,    0
190947,19640503,  270,    0
190947,19640504,  255,    0
190947,19640505,  275,    0
190947,19640506,  280,    0
190947,19640507,  288,    0
190947,19640508,  289,    0
190947,19640509,  280,    0
190947,19640510,  250,    0
190947,19640511,  246,    0
190947,19640512,  276,    0
190947,19640513,  280,    0
190947,19640514,  275,    0
190947,19640515,  174,    0
190947,19640516,  266,    0
190947,19640517,  286,    0
190947,19640518,  308,    0
190947,19640519,  278,    0
190947,19640520,  143,    0
190947,19640521,  320,    0
190947,19640522,  288,    0
190947,19640523,  216,    0
190947,19640524,  274,    0
190947,19640525,  274,    0
190947,19640526,  277,    0
190947,19640527,  268,    0
190947,19640528,  171,    0
190947,19640529,  230,    0
190947,19640530,  200,    0
190947,19640531,  249,    0
190947,19640601,  249,    0
190947,19640602,  244,    0
190947,19640603,  276,    0
190947,19640604,  315,    0
190947,19640605,  310,    0
190947,19640606,  283,    0
190947,19640607,  298,    0
190947,19640608,  298,    0
190947,19640609,  257,    0
190947,19640610,  227,    0
190947,19640611,  303,    0
190947,19640612,  258,    0
190947,19640613,  230,    0
190947,19640614,  304,    0
190947,19640615,  270,    0
190947,19640616,  170,    0
190947,19640617,  183,    0
190947,19640618,  193,    0
190947,19640619,  261,    0
190947,19640620,  253,    0
190947,19640621,  304,    0
190947,19640622,  292,    0
190947,19640623,  284,    0
190947,19640624,  185,    0
190947,19640625,  131,    0
190947,19640626,  200,    0
190947,19640627,  135,    0
190947,19640628,  143,    0
190947,19640629,  246,    0
190947,19640630,  249,    0
190947,19640701,  292,    0
190947,19640702,  275,    0
190947,19640703,  232,    0
190947,19640704,  267,    0
190947,19640705,  199,    0
190947,19640706,  262,    0
190947,19640707,  263,    0
190947,19640708,  288,    0
190947,19640709,  301,    0
190947,19640710,  242,    0
190947,19640711,  192,    0
190947,19640712,  290,    0
190947,19640713,  297,    0
190947,19640714,  285,    0
190947,19640715,  284,    0
190947,19640716,  245,    0
190947,19640717,  267,    0
190947,19640718,  230,    0
190947,19640719,  260,    0
190947,19640720,  266,    0
190947,19640721,  245,    0
190947,19640722,  257,    0
190947,19640723,  267,    0
190947,19640724,  177,    0
190947,19640725,  253,    0
190947,19640726,  262,    0
190947,19640727,  276,    0
190947,19640728,  239,    0
190947,19640729,  245,    0
190947,19640730,  250,    0
190947,19640731,  267,    0
190947,19640801,  241,    0
190947,19640802,  262,    0
190947,19640803,  186,    0
190947,19640804,  275,    0
190947,19640805,  222,    0
190947,19640806,  240,    0
190947,19640807,  179,    0
190947,19640808,  204,    0
190947,19640809,  291,    0
190947,19640810,  186,    0
190947,19640811,  273,    0
190947,19640812,  218,    0
190947,19640813,  161,    0
190947,19640814,  257,    0
190947,19640815,  126,    0
190947,19640816,  261,    0
190947,19640817,  305,    0
190947,19640818,  220,    0
190947,19640819,  234,    0
190947,19640820,  210,    0
190947,19640821,  253,    0
190947,19640822,  186,    0
190947,19640823,  219,    0
190947,19640824,   50,    0
190947,19640825,  174,    0
190947,19640826,  239,    0
190947,19640827,  208,    0
190947,19640828,  228,    0
190947,19640829,  233,    0
190947,19640830,  181,    0
190947,19640831,  108,    0
190947,19640901,  227,    0
190947,19640902,  232,    0
190947,19640903,  233,    0
190947,19640904,  194,    0
190947,19640905,  213,    0
190947,19640906,  218,    0
190947,19640907,  207,    0
190947,19640908,  169,    0
190947,19640909,  188,    0
190947,19640910,  230,    0
190947,19640911,  238,    0
190947,19640912,  222,    0
190947,19640913,  202,    0
190947,19640914,  185,    0
190947,19640915,  210,    0
190947,19640916,  210,    0
190947,19640917,  165,    0
190947,19640918,  189,    0
190947,19640919,  197,    0
190947,19640920,  200,    0
190947,19640921,  164,    0
190947,19640922,  203,    0
190947,19640923,  216,    0
190947,19640924,  210,    0
190947,19640925,  202,    0
190947,19640926,  196,    0
190947,19640927,  173,    0
190947,19640928,   34,    0
190947,19640929,  145,    0
190947,19640930,  173,    0
190947,19641001,  129,    0
190947,19641002,  157,    0
190947,19641003,   76,    0
190947,19641004,  150,    0
190947,19641005,  133,    0
190947,19641006,  147,    0
190947,19641007,  140,    0
190947,19641008,   92,    0
190947,19641009,  103,    0
190947,19641010,   46,    0
190947,19641011,   99,    0
190947,19641012,   99,    0
190947,19641013,  130,    0
190947,19641014,   72,    0
190947,19641015,  103,    0
190947,19641016,  126,    0
190947,19641017,  105,    0
190947,19641018,  137,    0
190947,19641019,  128,    0
190947,19641020,  157,    0
190947,19641021,  109,    0
190947,19641022,  144,    0
190947,19641023,   99,    0
190947,19641024,   23,    0
190947,19641025,   35,    0
190947,19641026,   63,    0
190947,19641027,   74,    0
190947,19641028,   55,    0
190947,19641029,  119,    0
190947,19641030,  123,    0
190947,19641031,   47,    0
190947,19641101,   50,    0
190947,19641102,   51,    0
190947,19641103,   93,    0
190947,19641104,   44,    0
190947,19641105,   35,    0
190947,19641106,   74,    0
190947,19641107,   61,    0
190947,19641108,   75,    0
190947,19641109,   16,    0
190947,19641110,   32,    0
190947,19641111,  114,    0
190947,19641112,  114,    0
190947,19641113,  118,    0
190947,19641114,  122,    0
190947,19641115,   44,    0
190947,19641116,   94,    0
190947,19641117,  109,    0
190947,19641118,   63,    0
190947,19641119,  101,    0
190947,19641120,   60,    0
190947,19641121,   92,    0
190947,19641122,   98,    0
190947,19641123,   85,    0
190947,19641124,  103,    0
190947,19641125,   90,    0
190947,19641126,   58,    0
190947,19641127,   25,    0
190947,19641128,   40,    0
190947,19641129,   78,    0
190947,19641130,   34,    0
190947,19641201,   69,    0
190947,19641202,-9999,    1
190947,19641203,   82,    0
190947,19641204,   89,    0
190947,19641205,  100,    0
190947,19641206,  101,    0
190947,19641207,   84,    0
190947,19641208,   87,    0
190947,19641209,   88,    0
190947,19641210,   92,    0
190947,19641211,   72,    0
190947,19641212,   82,    0
190947,19641213,   78,    0
190947,19641214,   55,    0
190947,19641215,   26,    0
190947,19641216,   23,    0
190947,19641217,   27,    0
190947,19641218,   26,    0
190947,19641219,   12,    0
190947,19641220,   33,    0
190947,19641221,   88,    0
190947,19641222,   79,    0
190947,19641223,   83,    0
190947,19641224,   71,    0
190947,19641225,   21,    0
190947,19641226,   33,    0
190947,19641227,   35,    0
190947,19641228,    8,    0
190947,19641229,   42,    0
190947,19641230,   76,    0
190947,19641231,   83,    0
190947,19650101,   96,    0
190947,19650102,   24,    0
190947,19650103,   59,    0
190947,19650104,   89,    0
190947,19650105,   92,    0
190947,19650106,  102,    0
190947,19650107,   94,    0
190947,19650108,   69,    0
190947,19650109,   32,    0
190947,19650110,   71,    0
190947,19650111,   95,    0
190947,19650112,   61,    0
190947,19650113,   15,    0
190947,19650114,   43,    0
190947,19650115,   61,    0
190947,19650116,   92,    0
190947,19650117,  109,    0
190947,19650118,   74,    0
190947,19650119,   52,    0
190947,19650120,   97,    0
190947,19650121,   24,    0
190947,19650122,  104,    0
190947,19650123,  101,    0
190947,19650124,  114,    0
190947,19650125,  107,    0
190947,19650126,   62,    0
190947,19650127,   51,    0
190947,19650128,   91,    0
190947,19650129,   47,    0
190947,19650130,  112,    0
190947,19650131,  103,    0
190947,19650201,   93,    0
190947,19650202,  129,    0
190947,19650203,  127,    0
190947,19650204,   95,    0
190947,19650205,  130,    0
190947,19650206,  117,    0
190947,19650207,  122,    0
190947,19650208,   34,    0
190947,19650209,   23,    0
190947,19650210,   79,    0
190947,19650211,  136,    0
190947,19650212,  129,    0
190947,19650213,  128,    0
190947,19650214,   30,    0
190947,19650215,   71,    0
190947,19650216,  159,    0
190947,19650217,  154,    0
190947,19650218,  143,    0
190947,19650219,  150,    0
190947,19650220,  155,    0
190947,19650221,  153,    0
190947,19650222,   71,    0
190947,19650223,   92,    0
190947,19650224,   23,    0
190947,19650225,  150,    0
190947,19650226,   54,    0
190947,19650227,  120,    0
190947,19650228,  126,    0
190947,19650301,   87,    0
190947,19650302,   55,    0
190947,19650303,   92,    0
190947,19650304,   92,    0
190947,19650305,   30,    0
190947,19650306,  119,    0
190947,19650307,  189,    0
190947,19650308,  173,    0
190947,19650309,  181,    0
190947,19650310,  184,    0
190947,19650311,  158,    0
190947,19650312,   70,    0
190947,19650313,  175,    0
190947,19650314,   91,    0
190947,19650315,   75,    0
190947,19650316,  157,    0
190947,19650317,   65,    0
190947,19650318,   92,    0
190947,19650319,  137,    0
190947,19650320,  191,    0
190947,19650321,  179,    0
190947,19650322,  197,    0
190947,19650323,  193,    0
190947,19650324,  159,    0
190947,19650325,  202,    0
190947,19650326,  243,    0
190947,19650327,  229,    0
190947,19650328,  244,    0
190947,19650329,  244,    0
190947,19650330,  232,    0
190947,19650331,  187,    0
190947,19650401,  233,    0
190947,19650402,  220,    0
190947,19650403,  249,    0
190947,19650404,  247,    0
190947,19650405,  144,    0
190947,19650406,  166,    0
190947,19650407,  204,    0
190947,19650408,  133,    0
190947,19650409,  163,    0
190947,19650410,  178,    0
190947,19650411,  195,    0
190947,19650412,   43,    0
190947,19650413,  166,    0
190947,19650414,  138,    0
