EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 102154 911146 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
102154,19010101,    7,    0
102154,19010102,    2,    0
102154,19010103,    3,    0
102154,19010104,    4,    0
102154,19010105,    5,    0
102154,19010106,    3,    0
102154,19010107,    2,    0
102154,19010108,    0,    0
102154,19010109,    0,    0
102154,19010110,    0,    0
102154,19010111,    2,    0
102154,19010112,    6,    0
102154,19010113,    1,    0
102154,19010114,    0,    0
102154,19010115,    0,    0
102154,19010116,    0,    0
102154,19010117,    1,    0
102154,19010118,    0,    0
102154,19010119,    1,    0
102154,19010120,    4,    0
102154,19010121,    8,    0
102154,19010122,    5,    0
102154,19010123,    0,    0
102154,19010124,    3,    0
102154,19010125,    5,    0
102154,19010126,    8,    0
102154,19010127,    7,    0
102154,19010128,    8,    0
102154,19010129,    5,    0
102154,19010130,    3,    0
102154,19010131,    4,    0
102154,19010201,    7,    0
102154,19010202,    8,    0
102154,19010203,    5,    0
102154,19010204,    6,    0
102154,19010205,    8,    0
102154,19010206,    8,    0
102154,19010207,    6,    0
102154,19010208,    6,    0
102154,19010209,    4,    0
102154,19010210,    7,    0
102154,19010211,    7,    0
102154,19010212,    1,    0
102154,19010213,    5,    0
102154,19010214,    2,    0
102154,19010215,    0,    0
