EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 102155 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
102155,19010101,   93,    0
102155,19010102,   96,    0
102155,19010103,   87,    0
102155,19010104,   83,    0
102155,19010105,   85,    0
102155,19010106,   91,    0
102155,19010107,   98,    0
102155,19010108,   83,    0
102155,19010109,   70,    0
102155,19010110,   53,    0
102155,19010111,   73,    0
102155,19010112,   98,    0
102155,19010113,   59,    0
102155,19010114,   40,    0
102155,19010115,   33,    0
102155,19010116,   42,    0
102155,19010117,   27,    0
102155,19010118,   28,    0
102155,19010119,   34,    0
102155,19010120,   49,    0
102155,19010121,   97,    0
102155,19010122,   67,    0
102155,19010123,   42,    0
102155,19010124,   39,    0
102155,19010125,   79,    0
102155,19010126,   91,    0
102155,19010127,   97,    0
102155,19010128,   97,    0
102155,19010129,   93,    0
102155,19010130,   92,    0
102155,19010131,   79,    0
102155,19010201,   85,    0
102155,19010202,   94,    0
102155,19010203,   98,    0
102155,19010204,   97,    0
102155,19010205,  100,    0
102155,19010206,   97,    0
102155,19010207,   96,    0
102155,19010208,   98,    0
102155,19010209,   69,    0
102155,19010210,   95,    0
102155,19010211,   94,    0
102155,19010212,   89,    0
102155,19010213,   86,    0
102155,19010214,   86,    0
102155,19010215,   88,    0
102155,19010216,   88,    0
102155,19010217,   91,    0
102155,19010218,   94,    0
102155,19010219,   98,    0
102155,19010220,   96,    0
102155,19010221,   99,    0
102155,19010222,   99,    0
102155,19010223,   71,    0
102155,19010224,   64,    0
102155,19010225,  100,    0
102155,19010226,   87,    0
102155,19010227,   63,    0
102155,19010228,   75,    0
102155,19010301,   99,    0
102155,19010302,   89,    0
102155,19010303,   93,    0
102155,19010304,   97,    0
102155,19010305,  100,    0
102155,19010306,  100,    0
102155,19010307,   95,    0
102155,19010308,   99,    0
102155,19010309,   99,    0
102155,19010310,   99,    0
102155,19010311,  100,    0
102155,19010312,   99,    0
102155,19010313,   94,    0
102155,19010314,   99,    0
102155,19010315,   98,    0
102155,19010316,   97,    0
102155,19010317,   98,    0
102155,19010318,  100,    0
102155,19010319,   99,    0
102155,19010320,   99,    0
102155,19010321,   98,    0
102155,19010322,   91,    0
102155,19010323,   90,    0
102155,19010324,   90,    0
102155,19010325,   96,    0
102155,19010326,   97,    0
102155,19010327,   91,    0
102155,19010328,   91,    0
102155,19010329,   88,    0
102155,19010330,   91,    0
102155,19010331,   96,    0
102155,19010401,  100,    0
102155,19010402,  100,    0
102155,19010403,   80,    0
102155,19010404,   85,    0
102155,19010405,   97,    0
102155,19010406,   71,    0
102155,19010407,   86,    0
102155,19010408,   86,    0
102155,19010409,   94,    0
102155,19010410,   97,    0
102155,19010411,   94,    0
102155,19010412,   98,    0
102155,19010413,   89,    0
102155,19010414,   92,    0
102155,19010415,   98,    0
102155,19010416,   90,    0
102155,19010417,   90,    0
102155,19010418,   89,    0
102155,19010419,   79,    0
102155,19010420,   96,    0
102155,19010421,   93,    0
102155,19010422,   73,    0
102155,19010423,   74,    0
102155,19010424,   98,    0
102155,19010425,   99,    0
102155,19010426,   97,    0
102155,19010427,   97,    0
102155,19010428,   98,    0
102155,19010429,   93,    0
102155,19010430,   96,    0
102155,19010501,   94,    0
102155,19010502,   97,    0
102155,19010503,   97,    0
102155,19010504,   96,    0
102155,19010505,   98,    0
102155,19010506,  100,    0
102155,19010507,   99,    0
102155,19010508,   99,    0
102155,19010509,   99,    0
102155,19010510,  100,    0
102155,19010511,  100,    0
102155,19010512,   99,    0
102155,19010513,   95,    0
102155,19010514,   80,    0
102155,19010515,   98,    0
102155,19010516,   99,    0
102155,19010517,   96,    0
102155,19010518,   95,    0
102155,19010519,   91,    0
102155,19010520,  100,    0
102155,19010521,   95,    0
102155,19010522,   82,    0
102155,19010523,   96,    0
102155,19010524,   89,    0
102155,19010525,   96,    0
102155,19010526,   97,    0
102155,19010527,   96,    0
102155,19010528,   97,    0
102155,19010529,   90,    0
102155,19010530,   83,    0
102155,19010531,   83,    0
102155,19010601,   82,    0
102155,19010602,   85,    0
102155,19010603,   87,    0
102155,19010604,   95,    0
102155,19010605,   95,    0
102155,19010606,   92,    0
102155,19010607,   95,    0
102155,19010608,   86,    0
102155,19010609,   85,    0
102155,19010610,   96,    0
102155,19010611,   96,    0
102155,19010612,   93,    0
102155,19010613,   97,    0
102155,19010614,   97,    0
102155,19010615,   98,    0
102155,19010616,   95,    0
102155,19010617,   93,    0
102155,19010618,   91,    0
102155,19010619,   89,    0
102155,19010620,   93,    0
102155,19010621,   94,    0
102155,19010622,   95,    0
102155,19010623,   79,    0
102155,19010624,   91,    0
102155,19010625,   98,    0
102155,19010626,   99,    0
102155,19010627,   78,    0
102155,19010628,   54,    0
102155,19010629,   82,    0
102155,19010630,   81,    0
102155,19010701,   87,    0
102155,19010702,   98,    0
