EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 100041 117876 911146 911343 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100041,19010101,   61,    0
100041,19010102,    0,    0
100041,19010103,   25,    0
100041,19010104,    0,    0
100041,19010105,    0,    0
100041,19010106,    4,    0
100041,19010107,    0,    0
100041,19010108,    0,    0
100041,19010109,    0,    0
100041,19010110,    0,    0
100041,19010111,   67,    0
100041,19010112,   79,    0
100041,19010113,    0,    0
100041,19010114,    0,    0
100041,19010115,    0,    0
100041,19010116,    0,    0
100041,19010117,    0,    0
100041,19010118,    0,    0
100041,19010119,    0,    0
100041,19010120,    0,    0
100041,19010121,  164,    0
100041,19010122,    0,    0
100041,19010123,    0,    0
100041,19010124,    0,    0
100041,19010125,    0,    0
100041,19010126,  121,    0
100041,19010127,   70,    0
100041,19010128,   34,    0
100041,19010129,   24,    0
100041,19010130,    0,    0
100041,19010131,    0,    0
100041,19010201,  168,    0
100041,19010202,  164,    0
100041,19010203,   47,    0
100041,19010204,   70,    0
100041,19010205,  136,    0
100041,19010206,   36,    0
100041,19010207,   93,    0
100041,19010208,    2,    0
100041,19010209,   10,    0
100041,19010210,   97,    0
100041,19010211,  124,    0
100041,19010212,    0,    0
100041,19010213,   76,    0
100041,19010214,    0,    0
100041,19010215,    0,    0
100041,19010216,   46,    0
100041,19010217,   12,    0
100041,19010218,   17,    0
100041,19010219,   14,    0
100041,19010220,    0,    0
100041,19010221,    0,    0
100041,19010222,    0,    0
100041,19010223,    3,    0
100041,19010224,    0,    0
100041,19010225,   16,    0
100041,19010226,    0,    0
100041,19010227,    0,    0
100041,19010228,    0,    0
100041,19010301,    0,    0
100041,19010302,   17,    0
100041,19010303,  259,    0
100041,19010304,  150,    0
100041,19010305,   88,    0
100041,19010306,   52,    0
100041,19010307,   94,    0
100041,19010308,    0,    0
100041,19010309,   82,    0
100041,19010310,  312,    0
100041,19010311,  131,    0
100041,19010312,    2,    0
100041,19010313,   23,    0
100041,19010314,    4,    0
100041,19010315,   54,    0
100041,19010316,    1,    0
100041,19010317,    3,    0
100041,19010318,  126,    0
100041,19010319,  112,    0
100041,19010320,  169,    0
100041,19010321,   56,    0
100041,19010322,   24,    0
100041,19010323,   39,    0
100041,19010324,    0,    0
100041,19010325,    0,    0
100041,19010326,   51,    0
100041,19010327,   53,    0
100041,19010328,  162,    0
100041,19010329,   42,    0
100041,19010330,    0,    0
100041,19010331,   51,    0
100041,19010401,    0,    0
100041,19010402,    0,    0
100041,19010403,    0,    0
100041,19010404,    0,    0
100041,19010405,   21,    0
100041,19010406,    0,    0
100041,19010407,   20,    0
100041,19010408,    0,    0
100041,19010409,    2,    0
100041,19010410,  159,    0
100041,19010411,    4,    0
100041,19010412,  164,    0
100041,19010413,  168,    0
100041,19010414,   14,    0
100041,19010415,   56,    0
100041,19010416,   92,    0
100041,19010417,  118,    0
100041,19010418,   34,    0
100041,19010419,    0,    0
100041,19010420,    5,    0
100041,19010421,    0,    0
100041,19010422,    0,    0
100041,19010423,    0,    0
100041,19010424,    0,    0
100041,19010425,   61,    0
100041,19010426,  109,    0
100041,19010427,  133,    0
100041,19010428,   86,    0
100041,19010429,    0,    0
100041,19010430,    0,    0
100041,19010501,   30,    0
100041,19010502,  180,    0
100041,19010503,  148,    0
100041,19010504,    0,    0
100041,19010505,   46,    0
100041,19010506,  220,    0
100041,19010507,  108,    0
100041,19010508,  137,    0
100041,19010509,  117,    0
100041,19010510,  159,    0
100041,19010511,   46,    0
100041,19010512,    0,    0
100041,19010513,   19,    0
100041,19010514,   46,    0
100041,19010515,   98,    0
100041,19010516,   41,    0
100041,19010517,   54,    0
100041,19010518,   43,    0
100041,19010519,   31,    0
100041,19010520,    0,    0
100041,19010521,    9,    0
100041,19010522,    0,    0
100041,19010523,    0,    0
100041,19010524,   82,    0
100041,19010525,    7,    0
100041,19010526,   32,    0
100041,19010527,    0,    0
100041,19010528,    0,    0
100041,19010529,    0,    0
100041,19010530,    0,    0
100041,19010531,    0,    0
100041,19010601,   26,    0
100041,19010602,  163,    0
100041,19010603,   23,    0
100041,19010604,   86,    0
100041,19010605,    0,    0
100041,19010606,    0,    0
100041,19010607,    0,    0
100041,19010608,    0,    0
100041,19010609,   36,    0
100041,19010610,   71,    0
100041,19010611,   83,    0
100041,19010612,   13,    0
100041,19010613,   27,    0
100041,19010614,  162,    0
100041,19010615,  163,    0
100041,19010616,  131,    0
100041,19010617,   20,    0
100041,19010618,  148,    0
100041,19010619,   98,    0
100041,19010620,   56,    0
100041,19010621,    0,    0
100041,19010622,    0,    0
100041,19010623,    0,    0
100041,19010624,  122,    0
100041,19010625,   28,    0
100041,19010626,   39,    0
100041,19010627,    0,    0
100041,19010628,    0,    0
100041,19010629,    2,    0
100041,19010630,    6,    0
100041,19010701,   88,    0
100041,19010702,   72,    0
100041,19010703,  150,    0
100041,19010704,  187,    0
100041,19010705,   79,    0
100041,19010706,   32,    0
100041,19010707,    2,    0
100041,19010708,   26,    0
100041,19010709,   15,    0
100041,19010710,   63,    0
100041,19010711,   64,    0
100041,19010712,   46,    0
100041,19010713,    0,    0
100041,19010714,   54,    0
100041,19010715,   27,    0
100041,19010716,    2,    0
100041,19010717,    0,    0
100041,19010718,    0,    0
100041,19010719,   44,    0
100041,19010720,   15,    0
100041,19010721,   11,    0
100041,19010722,   94,    0
100041,19010723,  148,    0
100041,19010724,    3,    0
100041,19010725,    8,    0
100041,19010726,   14,    0
100041,19010727,   23,    0
100041,19010728,    2,    0
100041,19010729,    0,    0
100041,19010730,    0,    0
100041,19010731,    6,    0
100041,19010801,   40,    0
100041,19010802,  212,    0
100041,19010803,   31,    0
100041,19010804,    0,    0
100041,19010805,    2,    0
100041,19010806,   52,    0
100041,19010807,  157,    0
100041,19010808,    3,    0
100041,19010809,    0,    0
100041,19010810,    0,    0
100041,19010811,    0,    0
100041,19010812,   61,    0
100041,19010813,  107,    0
100041,19010814,   16,    0
100041,19010815,  111,    0
100041,19010816,   54,    0
100041,19010817,    3,    0
100041,19010818,    0,    0
100041,19010819,    0,    0
100041,19010820,   46,    0
100041,19010821,    0,    0
100041,19010822,    0,    0
100041,19010823,    0,    0
100041,19010824,    0,    0
100041,19010825,    4,    0
100041,19010826,  157,    0
100041,19010827,   75,    0
100041,19010828,  160,    0
100041,19010829,    0,    0
100041,19010830,    0,    0
100041,19010831,    0,    0
100041,19010901,    0,    0
100041,19010902,    0,    0
100041,19010903,   57,    0
100041,19010904,   45,    0
100041,19010905,  141,    0
100041,19010906,    2,    0
100041,19010907,   45,    0
100041,19010908,    0,    0
100041,19010909,    0,    0
100041,19010910,   19,    0
100041,19010911,  146,    0
100041,19010912,  124,    0
100041,19010913,  144,    0
100041,19010914,  119,    0
100041,19010915,   86,    0
100041,19010916,   70,    0
100041,19010917,    0,    0
100041,19010918,    0,    0
100041,19010919,    0,    0
100041,19010920,    0,    0
100041,19010921,    0,    0
100041,19010922,   56,    0
100041,19010923,    0,    0
100041,19010924,   49,    0
100041,19010925,  109,    0
100041,19010926,    0,    0
100041,19010927,    0,    0
100041,19010928,    0,    0
100041,19010929,    0,    0
100041,19010930,    0,    0
100041,19011001,    0,    0
100041,19011002,    0,    0
100041,19011003,    0,    0
100041,19011004,   84,    0
100041,19011005,    0,    0
100041,19011006,   81,    0
100041,19011007,   12,    0
100041,19011008,    3,    0
100041,19011009,  270,    0
100041,19011010,  201,    0
100041,19011011,    2,    0
100041,19011012,    0,    0
100041,19011013,    0,    0
100041,19011014,    0,    0
100041,19011015,    0,    0
100041,19011016,   96,    0
100041,19011017,    0,    0
100041,19011018,   29,    0
100041,19011019,    0,    0
100041,19011020,   42,    0
100041,19011021,  156,    0
100041,19011022,  165,    0
100041,19011023,    0,    0
100041,19011024,    4,    0
100041,19011025,    0,    0
100041,19011026,    3,    0
100041,19011027,    0,    0
100041,19011028,    0,    0
100041,19011029,    0,    0
100041,19011030,    3,    0
100041,19011031,    0,    0
100041,19011101,    0,    0
100041,19011102,    0,    0
100041,19011103,    0,    0
100041,19011104,    0,    0
100041,19011105,    0,    0
100041,19011106,    0,    0
100041,19011107,    0,    0
100041,19011108,    0,    0
100041,19011109,    0,    0
100041,19011110,    0,    0
100041,19011111,    0,    0
100041,19011112,    0,    0
100041,19011113,    0,    0
100041,19011114,  151,    0
100041,19011115,   48,    0
100041,19011116,  147,    0
100041,19011117,    8,    0
100041,19011118,    0,    0
100041,19011119,    4,    0
100041,19011120,    0,    0
100041,19011121,    0,    0
100041,19011122,    0,    0
100041,19011123,   36,    0
100041,19011124,   35,    0
100041,19011125,    0,    0
100041,19011126,   16,    0
100041,19011127,    0,    0
100041,19011128,   93,    0
100041,19011129,  115,    0
100041,19011130,   61,    0
100041,19011201,   54,    0
100041,19011202,    0,    0
