EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 102156 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
102156,19380101,-9999,    9
102156,19380102,-9999,    9
102156,19380103,-9999,    9
102156,19380104,-9999,    9
102156,19380105,-9999,    9
102156,19380106,-9999,    9
102156,19380107,-9999,    9
102156,19380108,-9999,    9
102156,19380109,-9999,    9
102156,19380110,-9999,    9
102156,19380111,-9999,    9
102156,19380112,-9999,    9
102156,19380113,-9999,    9
102156,19380114,-9999,    9
102156,19380115,-9999,    9
102156,19380116,-9999,    9
102156,19380117,-9999,    9
102156,19380118,-9999,    9
102156,19380119,-9999,    9
102156,19380120,-9999,    9
102156,19380121,-9999,    9
102156,19380122,-9999,    9
102156,19380123,-9999,    9
102156,19380124,-9999,    9
102156,19380125,-9999,    9
102156,19380126,-9999,    9
102156,19380127,-9999,    9
102156,19380128,-9999,    9
102156,19380129,-9999,    9
102156,19380130,-9999,    9
102156,19380131,-9999,    9
102156,19380201,-9999,    9
102156,19380202,-9999,    9
102156,19380203,-9999,    9
102156,19380204,-9999,    9
102156,19380205,-9999,    9
102156,19380206,-9999,    9
102156,19380207,-9999,    9
102156,19380208,-9999,    9
102156,19380209,-9999,    9
102156,19380210,-9999,    9
102156,19380211,-9999,    9
102156,19380212,-9999,    9
102156,19380213,-9999,    9
102156,19380214,-9999,    9
102156,19380215,-9999,    9
102156,19380216,-9999,    9
102156,19380217,-9999,    9
102156,19380218,-9999,    9
102156,19380219,-9999,    9
102156,19380220,-9999,    9
102156,19380221,-9999,    9
102156,19380222,-9999,    9
102156,19380223,-9999,    9
102156,19380224,-9999,    9
102156,19380225,-9999,    9
102156,19380226,-9999,    9
102156,19380227,-9999,    9
102156,19380228,-9999,    9
102156,19380301,-9999,    9
102156,19380302,-9999,    9
102156,19380303,-9999,    9
102156,19380304,-9999,    9
102156,19380305,-9999,    9
102156,19380306,-9999,    9
102156,19380307,-9999,    9
102156,19380308,-9999,    9
102156,19380309,-9999,    9
102156,19380310,-9999,    9
102156,19380311,-9999,    9
102156,19380312,-9999,    9
102156,19380313,-9999,    9
102156,19380314,-9999,    9
102156,19380315,-9999,    9
102156,19380316,-9999,    9
102156,19380317,-9999,    9
102156,19380318,-9999,    9
102156,19380319,-9999,    9
102156,19380320,-9999,    9
102156,19380321,-9999,    9
102156,19380322,-9999,    9
102156,19380323,-9999,    9
102156,19380324,-9999,    9
102156,19380325,-9999,    9
102156,19380326,-9999,    9
102156,19380327,-9999,    9
102156,19380328,-9999,    9
102156,19380329,-9999,    9
102156,19380330,-9999,    9
102156,19380331,-9999,    9
102156,19380401,-9999,    9
102156,19380402,-9999,    9
102156,19380403,-9999,    9
102156,19380404,-9999,    9
102156,19380405,-9999,    9
102156,19380406,-9999,    9
102156,19380407,-9999,    9
102156,19380408,-9999,    9
102156,19380409,-9999,    9
102156,19380410,-9999,    9
102156,19380411,-9999,    9
102156,19380412,-9999,    9
102156,19380413,-9999,    9
102156,19380414,-9999,    9
102156,19380415,-9999,    9
102156,19380416,-9999,    9
102156,19380417,-9999,    9
102156,19380418,-9999,    9
102156,19380419,-9999,    9
102156,19380420,-9999,    9
102156,19380421,-9999,    9
102156,19380422,-9999,    9
102156,19380423,-9999,    9
102156,19380424,-9999,    9
102156,19380425,-9999,    9
102156,19380426,-9999,    9
102156,19380427,-9999,    9
102156,19380428,-9999,    9
102156,19380429,-9999,    9
102156,19380430,-9999,    9
102156,19380501,  560,    0
102156,19380502,  560,    0
102156,19380503,  570,    0
102156,19380504,  570,    0
102156,19380505,  570,    0
102156,19380506,  570,    0
102156,19380507,  560,    0
102156,19380508,  565,    0
102156,19380509,  565,    0
102156,19380510,  565,    0
102156,19380511,  570,    0
102156,19380512,  570,    0
102156,19380513,  570,    0
102156,19380514,  560,    0
102156,19380515,  560,    0
102156,19380516,  560,    0
102156,19380517,  550,    0
102156,19380518,  550,    0
102156,19380519,  550,    0
102156,19380520,  550,    0
102156,19380521,  620,    0
102156,19380522,  640,    0
102156,19380523,  640,    0
102156,19380524,  640,    0
102156,19380525,  650,    0
102156,19380526,  650,    0
102156,19380527,  650,    0
102156,19380528,  650,    0
102156,19380529,  650,    0
102156,19380530,  655,    0
102156,19380531,  655,    0
102156,19380601,  655,    0
102156,19380602,  650,    0
102156,19380603,  650,    0
102156,19380604,  670,    0
102156,19380605,  660,    0
102156,19380606,  650,    0
102156,19380607,  640,    0
102156,19380608,  630,    0
102156,19380609,  630,    0
102156,19380610,  620,    0
102156,19380611,  620,    0
102156,19380612,  620,    0
102156,19380613,  620,    0
102156,19380614,  620,    0
102156,19380615,  620,    0
102156,19380616,  620,    0
102156,19380617,  620,    0
102156,19380618,  610,    0
102156,19380619,  610,    0
102156,19380620,  600,    0
102156,19380621,  600,    0
102156,19380622,  600,    0
102156,19380623,  580,    0
102156,19380624,  570,    0
102156,19380625,  560,    0
102156,19380626,  550,    0
102156,19380627,  550,    0
102156,19380628,  540,    0
102156,19380629,  500,    0
102156,19380630,  460,    0
102156,19380701,  410,    0
102156,19380702,  400,    0
102156,19380703,  400,    0
102156,19380704,  430,    0
102156,19380705,  430,    0
102156,19380706,  430,    0
102156,19380707,  430,    0
102156,19380708,  420,    0
102156,19380709,  400,    0
102156,19380710,  400,    0
102156,19380711,  410,    0
102156,19380712,  410,    0
102156,19380713,  410,    0
102156,19380714,  400,    0
102156,19380715,  390,    0
102156,19380716,  380,    0
102156,19380717,  360,    0
102156,19380718,  340,    0
102156,19380719,  340,    0
102156,19380720,  340,    0
102156,19380721,  330,    0
102156,19380722,  330,    0
102156,19380723,  320,    0
102156,19380724,  300,    0
102156,19380725,  280,    0
102156,19380726,  280,    0
102156,19380727,  270,    0
102156,19380728,  270,    0
102156,19380729,  260,    0
102156,19380730,  260,    0
102156,19380731,  250,    0
102156,19380801,  250,    0
102156,19380802,  240,    0
102156,19380803,  240,    0
102156,19380804,  230,    0
102156,19380805,  230,    0
102156,19380806,  230,    0
102156,19380807,  230,    0
102156,19380808,  220,    0
102156,19380809,  220,    0
102156,19380810,  200,    0
102156,19380811,  200,    0
102156,19380812,  190,    0
102156,19380813,  190,    0
102156,19380814,  190,    0
102156,19380815,  190,    0
102156,19380816,  190,    0
102156,19380817,  180,    0
102156,19380818,  180,    0
102156,19380819,  170,    0
102156,19380820,  170,    0
102156,19380821,  160,    0
102156,19380822,  165,    0
102156,19380823,  170,    0
102156,19380824,  210,    0
