EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 102157 132866 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
102157,19010101,    0,    0
102157,19010102,   67,    0
102157,19010103,   68,    0
102157,19010104,   30,    0
102157,19010105,   34,    0
102157,19010106,    0,    0
102157,19010107,   61,    0
102157,19010108,   73,    0
102157,19010109,   79,    0
102157,19010110,   80,    0
102157,19010111,   81,    0
102157,19010112,    9,    0
102157,19010113,   83,    0
102157,19010114,   84,    0
102157,19010115,   86,    0
102157,19010116,   85,    0
102157,19010117,   86,    0
102157,19010118,   84,    0
102157,19010119,   80,    0
102157,19010120,   29,    0
102157,19010121,    0,    0
102157,19010122,    3,    0
102157,19010123,   89,    0
102157,19010124,   32,    0
102157,19010125,   14,    0
102157,19010126,    1,    0
102157,19010127,    0,    0
102157,19010128,    0,    0
102157,19010129,    3,    0
102157,19010130,    0,    0
102157,19010131,   35,    0
102157,19010201,    0,    0
102157,19010202,    0,    0
102157,19010203,    0,    0
102157,19010204,   12,    0
102157,19010205,    0,    0
102157,19010206,    0,    0
102157,19010207,    0,    0
102157,19010208,    4,    0
102157,19010209,   52,    0
102157,19010210,    3,    0
102157,19010211,   12,    0
102157,19010212,   87,    0
102157,19010213,   57,    0
102157,19010214,   87,    0
102157,19010215,   97,    0
102157,19010216,   34,    0
102157,19010217,    0,    0
102157,19010218,   72,    0
102157,19010219,   68,    0
102157,19010220,   59,    0
102157,19010221,   46,    0
102157,19010222,  102,    0
102157,19010223,  102,    0
102157,19010224,   48,    0
102157,19010225,    9,    0
102157,19010226,  103,    0
102157,19010227,  113,    1
102157,19010228,  101,    0
102157,19010301,    7,    0
102157,19010302,    0,    0
102157,19010303,    0,    0
102157,19010304,    0,    0
102157,19010305,    1,    0
102157,19010306,   80,    0
102157,19010307,    0,    0
102157,19010308,   18,    0
102157,19010309,   23,    0
102157,19010310,    0,    0
102157,19010311,    0,    0
102157,19010312,    0,    0
102157,19010313,   31,    0
102157,19010314,   30,    0
102157,19010315,    0,    0
102157,19010316,    3,    0
102157,19010317,   22,    0
102157,19010318,    0,    0
102157,19010319,    0,    0
102157,19010320,    0,    0
102157,19010321,    0,    0
102157,19010322,   60,    0
102157,19010323,    0,    0
102157,19010324,   91,    0
102157,19010325,  106,    0
102157,19010326,   13,    0
102157,19010327,   16,    0
102157,19010328,   30,    0
102157,19010329,    0,    0
102157,19010330,   96,    0
102157,19010331,    0,    0
102157,19010401,    0,    0
102157,19010402,   52,    0
102157,19010403,   94,    0
102157,19010404,   35,    0
102157,19010405,    0,    0
102157,19010406,   89,    0
102157,19010407,    0,    0
102157,19010408,   88,    0
102157,19010409,   51,    0
102157,19010410,    0,    0
102157,19010411,   86,    0
102157,19010412,    7,    0
102157,19010413,    0,    0
102157,19010414,   54,    0
102157,19010415,   49,    0
102157,19010416,   17,    0
102157,19010417,   57,    0
102157,19010418,    9,    0
102157,19010419,  126,    0
102157,19010420,   31,    0
102157,19010421,   83,    0
102157,19010422,  123,    0
102157,19010423,   80,    0
102157,19010424,   56,    0
102157,19010425,   53,    0
102157,19010426,   21,    0
102157,19010427,    0,    0
102157,19010428,    0,    0
102157,19010429,   37,    0
102157,19010430,   50,    0
102157,19010501,    0,    0
102157,19010502,    7,    0
102157,19010503,   12,    0
102157,19010504,   10,    0
102157,19010505,   89,    0
102157,19010506,   22,    0
102157,19010507,    0,    0
102157,19010508,    0,    0
102157,19010509,    0,    0
102157,19010510,    0,    0
102157,19010511,    1,    0
102157,19010512,   20,    0
102157,19010513,   95,    0
102157,19010514,   96,    0
102157,19010515,   17,    0
102157,19010516,   17,    0
102157,19010517,    5,    0
102157,19010518,   26,    0
102157,19010519,   39,    0
102157,19010520,   26,    0
102157,19010521,   89,    0
102157,19010522,   96,    0
102157,19010523,   28,    0
102157,19010524,   48,    0
102157,19010525,    0,    0
102157,19010526,    4,    0
102157,19010527,    9,    0
102157,19010528,   50,    0
102157,19010529,   88,    0
102157,19010530,  100,    0
102157,19010531,  107,    0
102157,19010601,  103,    0
102157,19010602,   63,    0
102157,19010603,   83,    0
102157,19010604,   32,    0
102157,19010605,    1,    0
102157,19010606,  122,    0
102157,19010607,   42,    0
102157,19010608,   88,    0
102157,19010609,   31,    0
102157,19010610,   20,    0
102157,19010611,   38,    0
102157,19010612,    4,    0
102157,19010613,    0,    0
