EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : daily Mean temperature in 0.1 &#176;C
23-27 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 100040 911146 911343 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100040,19010101, -143,    0
100040,19010102, -212,    0
100040,19010103, -262,    0
100040,19010104, -296,    0
100040,19010105, -270,    0
100040,19010106, -201,    0
100040,19010107, -168,    0
100040,19010108, -142,    0
100040,19010109, -121,    0
100040,19010110, -124,    0
100040,19010111, -143,    0
100040,19010112, -158,    0
100040,19010113, -175,    0
100040,19010114, -146,    0
100040,19010115, -103,    0
100040,19010116,  -86,    0
100040,19010117,  -65,    0
100040,19010118,  -49,    0
100040,19010119,  -60,    0
100040,19010120,  -83,    0
100040,19010121, -128,    0
100040,19010122,  -80,    0
100040,19010123,  -20,    0
100040,19010124,  -35,    0
100040,19010125,  -61,    0
100040,19010126, -135,    0
100040,19010127, -126,    0
100040,19010128, -122,    0
100040,19010129, -185,    0
100040,19010130, -209,    0
100040,19010131, -209,    0
100040,19010201, -183,    0
100040,19010202, -161,    0
100040,19010203, -181,    0
100040,19010204, -161,    0
100040,19010205, -138,    0
100040,19010206, -145,    0
100040,19010207, -169,    0
100040,19010208, -155,    0
100040,19010209, -176,    0
100040,19010210, -190,    0
100040,19010211, -198,    0
100040,19010212, -249,    0
100040,19010213, -277,    0
100040,19010214, -298,    0
100040,19010215, -297,    0
100040,19010216, -278,    0
100040,19010217, -208,    0
100040,19010218, -232,    0
100040,19010219, -263,    0
