EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TX   : daily Maximum temperature in 0.1 &#176;C
23-27 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AUSTRIA, SONNBLICK (STAID: 15).
Blended and updated with sources: 102152 117875 911146 911343 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TX, Q_TX
102152,18861001,-9999,    9
102152,18861002,-9999,    9
102152,18861003,-9999,    9
102152,18861004,-9999,    9
102152,18861005,-9999,    9
102152,18861006,-9999,    9
102152,18861007,-9999,    9
102152,18861008,-9999,    9
102152,18861009,-9999,    9
102152,18861010,-9999,    9
102152,18861011,-9999,    9
102152,18861012,-9999,    9
102152,18861013,-9999,    9
102152,18861014,-9999,    9
102152,18861015,-9999,    9
102152,18861016,-9999,    9
102152,18861017,-9999,    9
102152,18861018,-9999,    9
102152,18861019,-9999,    9
102152,18861020,-9999,    9
102152,18861021,-9999,    9
102152,18861022,-9999,    9
102152,18861023,-9999,    9
102152,18861024,-9999,    9
102152,18861025,-9999,    9
102152,18861026,-9999,    9
102152,18861027,-9999,    9
102152,18861028,-9999,    9
102152,18861029,-9999,    9
102152,18861030,-9999,    9
102152,18861031,-9999,    9
102152,18861101,   10,    0
102152,18861102,  -30,    0
102152,18861103,  -30,    0
102152,18861104,  -30,    0
102152,18861105,  -40,    0
102152,18861106,  -40,    0
102152,18861107,  -20,    0
102152,18861108,  -30,    0
102152,18861109,  -20,    0
102152,18861110,  -50,    0
102152,18861111,  -10,    0
102152,18861112,  -50,    0
102152,18861113,  -10,    0
102152,18861114,  -20,    0
102152,18861115,  -30,    0
102152,18861116,  -70,    0
102152,18861117,  -60,    0
102152,18861118,  -70,    0
102152,18861119, -100,    0
102152,18861120, -150,    0
102152,18861121, -160,    0
102152,18861122, -130,    0
102152,18861123, -130,    0
102152,18861124, -150,    0
102152,18861125,  -70,    0
102152,18861126,  -60,    0
102152,18861127,  -90,    0
102152,18861128,  -80,    0
102152,18861129,  -60,    0
102152,18861130,  -50,    0
102152,18861201,  -80,    0
102152,18861202,  -80,    0
102152,18861203,  -80,    0
102152,18861204,  -80,    0
102152,18861205,  -90,    0
102152,18861206,  -80,    0
102152,18861207,  -60,    0
102152,18861208,  -70,    0
102152,18861209,  -90,    0
102152,18861210,  -90,    0
102152,18861211, -140,    0
102152,18861212, -100,    0
102152,18861213,  -90,    0
102152,18861214, -100,    0
102152,18861215,  -80,    0
102152,18861216,  -70,    0
102152,18861217,  -70,    0
102152,18861218,  -60,    0
102152,18861219,  -70,    0
102152,18861220,  -70,    0
102152,18861221,  -50,    0
102152,18861222, -140,    0
102152,18861223, -120,    0
102152,18861224, -110,    0
102152,18861225, -110,    0
102152,18861226, -150,    0
102152,18861227, -140,    0
102152,18861228, -140,    0
102152,18861229, -130,    0
102152,18861230, -140,    0
102152,18861231, -200,    0
102152,18870101, -180,    0
102152,18870102, -150,    0
102152,18870103, -140,    0
102152,18870104, -130,    0
102152,18870105, -130,    0
102152,18870106, -140,    0
102152,18870107, -130,    0
102152,18870108, -120,    0
102152,18870109, -130,    0
102152,18870110, -120,    0
102152,18870111, -110,    0
102152,18870112, -100,    0
102152,18870113, -100,    0
102152,18870114, -140,    0
102152,18870115, -120,    0
102152,18870116, -140,    0
102152,18870117, -120,    0
102152,18870118,  -90,    0
102152,18870119, -140,    0
102152,18870120, -120,    0
