EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM (STAID: 10).
Blended and updated with sources: 141519 902484 902485 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
141519,19610101,    8,    0
141519,19610102,    8,    0
141519,19610103,    8,    0
141519,19610104,    6,    0
141519,19610105,    8,    0
141519,19610106,    8,    0
141519,19610107,    8,    0
141519,19610108,    8,    0
141519,19610109,    8,    0
141519,19610110,    7,    0
141519,19610111,    8,    0
141519,19610112,    1,    0
141519,19610113,    8,    0
141519,19610114,    1,    0
141519,19610115,    5,    0
141519,19610116,    2,    0
141519,19610117,    8,    0
141519,19610118,    3,    0
141519,19610119,    0,    0
141519,19610120,    0,    0
141519,19610121,    6,    0
141519,19610122,    8,    0
141519,19610123,    5,    0
141519,19610124,    5,    0
141519,19610125,    3,    0
141519,19610126,    2,    0
141519,19610127,    3,    0
141519,19610128,    8,    0
141519,19610129,    8,    0
141519,19610130,    8,    0
141519,19610131,    8,    0
141519,19610201,    8,    0
141519,19610202,    8,    0
141519,19610203,    8,    0
141519,19610204,    8,    0
141519,19610205,    6,    0
141519,19610206,    8,    0
141519,19610207,    5,    0
141519,19610208,    5,    0
141519,19610209,    4,    0
141519,19610210,    8,    0
141519,19610211,    6,    0
141519,19610212,    4,    0
141519,19610213,    4,    0
141519,19610214,    8,    0
141519,19610215,    3,    0
141519,19610216,    8,    0
141519,19610217,    8,    0
141519,19610218,    2,    0
141519,19610219,    4,    0
141519,19610220,    4,    0
141519,19610221,    2,    0
141519,19610222,    4,    0
141519,19610223,    8,    0
141519,19610224,    7,    0
141519,19610225,    8,    0
141519,19610226,    8,    0
141519,19610227,    8,    0
141519,19610228,    6,    0
141519,19610301,    2,    0
141519,19610302,    2,    0
141519,19610303,    4,    0
141519,19610304,    6,    0
141519,19610305,    6,    0
141519,19610306,    3,    0
141519,19610307,    3,    0
141519,19610308,    6,    0
141519,19610309,    8,    0
141519,19610310,    4,    0
141519,19610311,    7,    0
141519,19610312,    8,    0
141519,19610313,    1,    0
141519,19610314,    6,    0
141519,19610315,    4,    0
141519,19610316,    3,    0
141519,19610317,    8,    0
141519,19610318,    8,    0
141519,19610319,    4,    0
141519,19610320,    3,    0
141519,19610321,    2,    0
141519,19610322,    5,    0
141519,19610323,    7,    0
141519,19610324,    4,    0
141519,19610325,    4,    0
141519,19610326,    8,    0
141519,19610327,    6,    0
141519,19610328,    5,    0
141519,19610329,    3,    0
141519,19610330,    4,    0
141519,19610331,    2,    0
141519,19610401,    1,    0
141519,19610402,    2,    0
141519,19610403,    7,    0
141519,19610404,    4,    0
141519,19610405,    5,    0
141519,19610406,    8,    0
141519,19610407,    8,    0
141519,19610408,    6,    0
141519,19610409,    2,    0
141519,19610410,    5,    0
141519,19610411,    3,    0
141519,19610412,    6,    0
141519,19610413,    7,    0
141519,19610414,    5,    0
141519,19610415,    5,    0
141519,19610416,    4,    0
141519,19610417,    1,    0
141519,19610418,    2,    0
141519,19610419,    4,    0
141519,19610420,    1,    0
141519,19610421,    2,    0
141519,19610422,    2,    0
141519,19610423,    3,    0
141519,19610424,    2,    0
141519,19610425,    0,    0
141519,19610426,    0,    0
141519,19610427,    1,    0
141519,19610428,    3,    0
141519,19610429,    2,    0
141519,19610430,    5,    0
141519,19610501,    1,    0
141519,19610502,    3,    0
141519,19610503,    6,    0
141519,19610504,    5,    0
141519,19610505,    6,    0
141519,19610506,    8,    0
141519,19610507,    3,    0
141519,19610508,    7,    0
141519,19610509,    8,    0
141519,19610510,    8,    0
141519,19610511,    8,    0
141519,19610512,    5,    0
141519,19610513,    7,    0
141519,19610514,    8,    0
141519,19610515,    5,    0
141519,19610516,    4,    0
141519,19610517,    1,    0
141519,19610518,    4,    0
141519,19610519,    7,    0
141519,19610520,    8,    0
141519,19610521,    3,    0
141519,19610522,    7,    0
141519,19610523,    5,    0
141519,19610524,    2,    0
141519,19610525,    1,    0
141519,19610526,    5,    0
141519,19610527,    8,    0
141519,19610528,    8,    0
141519,19610529,    8,    0
141519,19610530,    3,    0
141519,19610531,    5,    0
141519,19610601,    7,    0
141519,19610602,    1,    0
141519,19610603,    1,    0
141519,19610604,    1,    0
141519,19610605,    1,    0
141519,19610606,    1,    0
141519,19610607,    1,    0
