EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM (STAID: 10).
Blended and updated with sources: 138883 902485 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
138883,18930101,-9999,    9
138883,18930102,-9999,    9
138883,18930103,-9999,    9
138883,18930104,-9999,    9
138883,18930105,-9999,    9
138883,18930106,-9999,    9
138883,18930107,-9999,    9
138883,18930108,-9999,    9
138883,18930109,-9999,    9
138883,18930110,-9999,    9
138883,18930111,-9999,    9
138883,18930112,-9999,    9
138883,18930113,-9999,    9
138883,18930114,-9999,    9
138883,18930115,   20,    0
138883,18930116,-9999,    9
138883,18930117,-9999,    9
138883,18930118,-9999,    9
138883,18930119,-9999,    9
138883,18930120,-9999,    9
138883,18930121,-9999,    9
138883,18930122,-9999,    9
138883,18930123,-9999,    9
138883,18930124,-9999,    9
138883,18930125,-9999,    9
138883,18930126,-9999,    9
138883,18930127,-9999,    9
138883,18930128,-9999,    9
138883,18930129,-9999,    9
138883,18930130,-9999,    9
138883,18930131,   25,    0
138883,18930201,   27,    0
138883,18930202,-9999,    9
138883,18930203,-9999,    9
138883,18930204,-9999,    9
138883,18930205,-9999,    9
138883,18930206,-9999,    9
138883,18930207,-9999,    9
138883,18930208,-9999,    9
138883,18930209,-9999,    9
138883,18930210,-9999,    9
138883,18930211,-9999,    9
138883,18930212,-9999,    9
138883,18930213,-9999,    9
138883,18930214,-9999,    9
138883,18930215,-9999,    9
138883,18930216,-9999,    9
138883,18930217,   37,    0
138883,18930218,-9999,    9
138883,18930219,-9999,    9
138883,18930220,-9999,    9
138883,18930221,-9999,    9
138883,18930222,-9999,    9
138883,18930223,-9999,    9
138883,18930224,-9999,    9
138883,18930225,-9999,    9
138883,18930226,-9999,    9
138883,18930227,-9999,    9
138883,18930228,-9999,    9
138883,18930301,   45,    0
138883,18930302,-9999,    9
138883,18930303,-9999,    9
138883,18930304,-9999,    9
138883,18930305,-9999,    9
138883,18930306,-9999,    9
138883,18930307,-9999,    9
138883,18930308,-9999,    9
138883,18930309,-9999,    9
138883,18930310,-9999,    9
138883,18930311,-9999,    9
138883,18930312,-9999,    9
138883,18930313,-9999,    9
138883,18930314,   35,    0
138883,18930315,-9999,    9
138883,18930316,-9999,    9
138883,18930317,-9999,    9
138883,18930318,-9999,    9
138883,18930319,-9999,    9
138883,18930320,-9999,    9
138883,18930321,-9999,    9
138883,18930322,   10,    0
138883,18930323,-9999,    9
138883,18930324,-9999,    9
138883,18930325,-9999,    9
138883,18930326,-9999,    9
138883,18930327,-9999,    9
138883,18930328,-9999,    9
138883,18930329,-9999,    9
138883,18930330,-9999,    9
