EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM (STAID: 10).
Blended and updated with sources: 136124 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
136124,18820101,  -12,    0
136124,18820102,   10,    0
136124,18820103,   22,    0
136124,18820104,  -10,    0
136124,18820105,  -40,    0
136124,18820106,    4,    0
136124,18820107,   20,    0
136124,18820108,  -30,    0
136124,18820109,  -16,    0
136124,18820110,  -10,    0
136124,18820111,  -12,    0
136124,18820112,  -60,    0
136124,18820113,  -75,    0
136124,18820114,  -28,    0
136124,18820115,  -60,    0
136124,18820116,  -25,    0
136124,18820117,    5,    0
136124,18820118,   10,    0
136124,18820119,   10,    0
136124,18820120,   18,    0
136124,18820121,   20,    0
136124,18820122,  -30,    0
136124,18820123,   -5,    0
136124,18820124,    5,    0
136124,18820125,   20,    0
136124,18820126,    8,    0
136124,18820127,  -12,    0
136124,18820128,   10,    0
136124,18820129,  -40,    0
136124,18820130,  -50,    0
136124,18820131,  -60,    0
136124,18820201,  -60,    0
136124,18820202,  -35,    0
136124,18820203,  -18,    0
136124,18820204,   10,    0
136124,18820205,  -30,    0
136124,18820206,  -50,    0
136124,18820207, -100,    0
136124,18820208, -124,    0
136124,18820209,  -65,    0
136124,18820210,  -30,    0
136124,18820211,   20,    0
136124,18820212,  -14,    0
136124,18820213,   11,    0
136124,18820214,   20,    0
136124,18820215,  -12,    0
136124,18820216,  -70,    0
136124,18820217,  -80,    0
136124,18820218,  -90,    0
136124,18820219,  -40,    0
136124,18820220,  -80,    0
136124,18820221,  -90,    0
136124,18820222, -100,    0
136124,18820223,  -20,    0
136124,18820224,  -42,    0
136124,18820225,   20,    0
136124,18820226,   30,    0
136124,18820227,  -55,    0
136124,18820228, -122,    0
136124,18820301, -152,    0
136124,18820302, -135,    0
136124,18820303, -102,    0
136124,18820304,  -90,    0
136124,18820305,    0,    0
136124,18820306,  -18,    0
136124,18820307,  -75,    0
136124,18820308,  -72,    0
136124,18820309,   18,    0
136124,18820310,   30,    0
136124,18820311,   20,    0
136124,18820312,   -8,    0
136124,18820313,   30,    0
136124,18820314,  -10,    0
136124,18820315,   20,    0
136124,18820316,   50,    0
136124,18820317,  -18,    0
136124,18820318,  -42,    0
136124,18820319,   -8,    0
136124,18820320,   18,    0
136124,18820321,   30,    0
136124,18820322,   20,    0
136124,18820323,  -12,    0
136124,18820324,  -10,    0
