EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM_A (STAID: 5464).
Blended and updated with sources: 160018 902484 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
160018,19961001,-9999,    9
160018,19961002,-9999,    9
160018,19961003,   75,    0
160018,19961004,   72,    0
160018,19961005,   77,    0
160018,19961006,-9999,    9
160018,19961007,   81,    0
160018,19961008,   85,    0
160018,19961009,   78,    0
160018,19961010,   63,    0
160018,19961011,-9999,    9
160018,19961012,   77,    0
160018,19961013,   85,    0
160018,19961014,   80,    0
160018,19961015,-9999,    9
160018,19961016,   89,    0
160018,19961017,   86,    0
160018,19961018,-9999,    9
160018,19961019,   88,    0
160018,19961020,-9999,    9
160018,19961021,   91,    0
160018,19961022,-9999,    9
160018,19961023,   82,    0
160018,19961024,   81,    0
160018,19961025,   84,    0
160018,19961026,-9999,    9
160018,19961027,-9999,    9
160018,19961028,-9999,    9
160018,19961029,   94,    0
160018,19961030,   78,    0
160018,19961031,   69,    0
160018,19961101,   85,    0
160018,19961102,   85,    0
160018,19961103,-9999,    9
160018,19961104,   84,    0
160018,19961105,   92,    0
160018,19961106,   83,    0
160018,19961107,   81,    0
160018,19961108,   79,    0
160018,19961109,   81,    0
160018,19961110,   90,    0
160018,19961111,   87,    0
160018,19961112,   88,    0
160018,19961113,   96,    0
160018,19961114,   82,    0
160018,19961115,   88,    0
160018,19961116,   92,    0
160018,19961117,   87,    0
160018,19961118,   88,    0
160018,19961119,   93,    0
160018,19961120,   87,    0
160018,19961121,   92,    0
160018,19961122,   89,    0
160018,19961123,   87,    0
160018,19961124,   92,    0
160018,19961125,   90,    0
160018,19961126,   93,    0
160018,19961127,   89,    0
160018,19961128,   90,    0
160018,19961129,   97,    0
160018,19961130,   89,    0
160018,19961201,-9999,    9
160018,19961202,   91,    0
160018,19961203,   91,    0
160018,19961204,   88,    0
160018,19961205,-9999,    9
160018,19961206,   93,    0
160018,19961207,   90,    0
160018,19961208,   87,    0
160018,19961209,   90,    0
160018,19961210,   89,    0
160018,19961211,   97,    0
160018,19961212,   92,    0
160018,19961213,   84,    0
160018,19961214,   75,    0
160018,19961215,   69,    0
160018,19961216,-9999,    9
160018,19961217,   72,    0
160018,19961218,-9999,    9
160018,19961219,   81,    0
160018,19961220,   71,    0
160018,19961221,   81,    0
160018,19961222,   84,    0
160018,19961223,-9999,    9
160018,19961224,   79,    0
160018,19961225,   85,    0
160018,19961226,-9999,    9
160018,19961227,-9999,    9
160018,19961228,   90,    0
160018,19961229,   88,    0
160018,19961230,   88,    0
160018,19961231,-9999,    9
160018,19970101,   84,    0
160018,19970102,   84,    0
160018,19970103,   82,    0
160018,19970104,   83,    0
160018,19970105,   85,    0
160018,19970106,   82,    0
160018,19970107,-9999,    9
160018,19970108,   90,    0
160018,19970109,   88,    0
160018,19970110,   79,    0
160018,19970111,   74,    0
160018,19970112,   90,    0
160018,19970113,   93,    0
160018,19970114,   80,    0
160018,19970115,   78,    0
160018,19970116,   67,    0
160018,19970117,   95,    0
160018,19970118,   90,    0
160018,19970119,   87,    0
160018,19970120,   80,    0
160018,19970121,-9999,    9
160018,19970122,   84,    0
160018,19970123,   91,    0
160018,19970124,   74,    0
160018,19970125,   84,    0
160018,19970126,   87,    0
160018,19970127,-9999,    9
160018,19970128,   58,    0
160018,19970129,   63,    0
160018,19970130,   67,    0
160018,19970131,   47,    0
160018,19970201,-9999,    9
160018,19970202,-9999,    9
160018,19970203,   85,    0
160018,19970204,   85,    0
160018,19970205,   70,    0
160018,19970206,   69,    0
160018,19970207,   86,    0
160018,19970208,   55,    0
160018,19970209,   90,    0
160018,19970210,   84,    0
160018,19970211,   82,    0
160018,19970212,   72,    0
160018,19970213,   91,    0
160018,19970214,   76,    0
160018,19970215,   71,    0
160018,19970216,   68,    0
160018,19970217,   70,    0
160018,19970218,   76,    0
160018,19970219,   96,    0
160018,19970220,   93,    0
160018,19970221,   92,    0
160018,19970222,   77,    0
160018,19970223,   82,    0
160018,19970224,   84,    0
160018,19970225,   83,    0
160018,19970226,   75,    0
160018,19970227,   52,    0
160018,19970228,   79,    0
160018,19970301,   67,    0
160018,19970302,   74,    0
160018,19970303,   55,    0
160018,19970304,   53,    0
160018,19970305,   62,    0
160018,19970306,-9999,    9
160018,19970307,-9999,    9
160018,19970308,   60,    0
160018,19970309,   49,    0
160018,19970310,   78,    0
160018,19970311,   66,    0
160018,19970312,   68,    0
160018,19970313,   71,    0
160018,19970314,   51,    0
160018,19970315,   60,    0
160018,19970316,   51,    0
160018,19970317,   48,    0
160018,19970318,   55,    0
160018,19970319,   55,    0
160018,19970320,   68,    0
160018,19970321,   84,    0
160018,19970322,   86,    0
160018,19970323,   70,    0
160018,19970324,-9999,    9
160018,19970325,   63,    0
160018,19970326,   87,    0
160018,19970327,   70,    0
160018,19970328,   77,    0
160018,19970329,   67,    0
160018,19970330,   58,    0
160018,19970331,   66,    0
160018,19970401,   62,    0
160018,19970402,   54,    0
160018,19970403,   56,    0
160018,19970404,   42,    0
160018,19970405,-9999,    9
160018,19970406,   55,    0
160018,19970407,   52,    0
160018,19970408,   52,    0
160018,19970409,-9999,    9
160018,19970410,   73,    0
160018,19970411,   77,    0
160018,19970412,   60,    0
160018,19970413,   57,    0
160018,19970414,   55,    0
160018,19970415,   62,    0
160018,19970416,   55,    0
160018,19970417,   55,    0
160018,19970418,   57,    0
160018,19970419,   66,    0
160018,19970420,   60,    0
160018,19970421,   65,    0
160018,19970422,-9999,    9
160018,19970423,   43,    0
160018,19970424,-9999,    9
160018,19970425,-9999,    9
160018,19970426,   47,    0
160018,19970427,   53,    0
160018,19970428,   54,    0
160018,19970429,   93,    0
160018,19970430,   66,    0
160018,19970501,   67,    0
160018,19970502,   71,    0
160018,19970503,   41,    0
160018,19970504,   39,    0
160018,19970505,   92,    0
160018,19970506,   94,    0
160018,19970507,   91,    0
160018,19970508,   62,    0
160018,19970509,   85,    0
160018,19970510,   85,    0
160018,19970511,   74,    0
160018,19970512,   77,    0
160018,19970513,   60,    0
160018,19970514,   57,    0
160018,19970515,   58,    0
160018,19970516,-9999,    9
160018,19970517,   47,    0
160018,19970518,-9999,    9
160018,19970519,-9999,    9
160018,19970520,   64,    0
160018,19970521,   62,    0
160018,19970522,-9999,    9
160018,19970523,   52,    0
160018,19970524,   64,    0
160018,19970525,   71,    0
160018,19970526,   74,    0
160018,19970527,-9999,    9
160018,19970528,-9999,    9
160018,19970529,-9999,    9
160018,19970530,-9999,    9
160018,19970531,   60,    0
160018,19970601,   46,    0
160018,19970602,   51,    0
160018,19970603,   52,    0
160018,19970604,   60,    0
160018,19970605,   54,    0
160018,19970606,-9999,    9
160018,19970607,-9999,    9
160018,19970608,-9999,    9
160018,19970609,   57,    0
160018,19970610,   64,    0
160018,19970611,   72,    0
160018,19970612,   66,    0
160018,19970613,-9999,    9
160018,19970614,   93,    0
160018,19970615,   75,    0
160018,19970616,   92,    0
160018,19970617,   96,    0
160018,19970618,   72,    0
160018,19970619,   69,    0
160018,19970620,   63,    0
160018,19970621,   69,    0
160018,19970622,   91,    0
160018,19970623,   73,    0
160018,19970624,   76,    0
160018,19970625,   87,    0
160018,19970626,   85,    0
160018,19970627,   67,    0
160018,19970628,   71,    0
160018,19970629,   86,    0
160018,19970630,-9999,    9
160018,19970701,   79,    0
160018,19970702,-9999,    9
160018,19970703,   63,    0
160018,19970704,   66,    0
160018,19970705,   62,    0
160018,19970706,   65,    0
160018,19970707,   57,    0
160018,19970708,   64,    0
160018,19970709,   56,    0
160018,19970710,   72,    0
160018,19970711,   71,    0
160018,19970712,   73,    0
160018,19970713,   68,    0
160018,19970714,   57,    0
160018,19970715,   62,    0
160018,19970716,   54,    0
160018,19970717,   60,    0
160018,19970718,   69,    0
160018,19970719,   56,    0
160018,19970720,   50,    0
160018,19970721,   51,    0
160018,19970722,   52,    0
160018,19970723,   48,    0
160018,19970724,   61,    0
160018,19970725,   77,    0
160018,19970726,   91,    0
160018,19970727,   74,    0
160018,19970728,   87,    0
160018,19970729,   79,    0
160018,19970730,-9999,    9
160018,19970731,   72,    0
160018,19970801,   69,    0
160018,19970802,   79,    0
160018,19970803,   73,    0
160018,19970804,-9999,    9
160018,19970805,   65,    0
160018,19970806,   58,    0
160018,19970807,-9999,    9
160018,19970808,   66,    0
160018,19970809,   68,    0
160018,19970810,   64,    0
160018,19970811,-9999,    9
160018,19970812,-9999,    9
160018,19970813,   60,    0
160018,19970814,   56,    0
160018,19970815,   62,    0
160018,19970816,   63,    0
160018,19970817,-9999,    9
160018,19970818,   84,    0
160018,19970819,   79,    0
160018,19970820,-9999,    9
160018,19970821,   61,    0
160018,19970822,-9999,    9
160018,19970823,   66,    0
160018,19970824,   73,    0
160018,19970825,   94,    0
160018,19970826,-9999,    9
160018,19970827,   72,    0
160018,19970828,   71,    0
160018,19970829,   79,    0
160018,19970830,   86,    0
160018,19970831,   81,    0
160018,19970901,   86,    0
160018,19970902,   73,    0
160018,19970903,   85,    0
160018,19970904,   84,    0
160018,19970905,   84,    0
160018,19970906,   87,    0
160018,19970907,   82,    0
160018,19970908,   80,    0
160018,19970909,   63,    0
160018,19970910,   61,    0
160018,19970911,   62,    0
160018,19970912,   91,    0
160018,19970913,   73,    0
160018,19970914,   73,    0
160018,19970915,   73,    0
160018,19970916,   72,    0
160018,19970917,   73,    0
160018,19970918,-9999,    9
160018,19970919,-9999,    9
160018,19970920,   64,    0
160018,19970921,   76,    0
160018,19970922,   64,    0
160018,19970923,   66,    0
160018,19970924,   69,    0
160018,19970925,   69,    0
160018,19970926,   61,    0
