EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM_A (STAID: 5464).
Blended and updated with sources: 138884 138886 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138884,18590101,    0,    0
138884,18590102,    0,    0
138884,18590103,    9,    0
138884,18590104,    0,    0
138884,18590105,    0,    0
138884,18590106,    0,    0
138884,18590107,    0,    0
138884,18590108,    0,    0
138884,18590109,    0,    0
138884,18590110,    0,    0
138884,18590111,    7,    0
138884,18590112,    0,    0
138884,18590113,    0,    0
138884,18590114,    0,    0
138884,18590115,    0,    0
138884,18590116,    0,    0
138884,18590117,    0,    0
138884,18590118,    3,    0
138884,18590119,    0,    0
138884,18590120,    0,    0
138884,18590121,    0,    0
138884,18590122,    0,    0
138884,18590123,    0,    0
138884,18590124,    0,    0
138884,18590125,   38,    0
138884,18590126,    0,    0
138884,18590127,    0,    0
138884,18590128,    0,    0
138884,18590129,    0,    0
138884,18590130,   65,    0
138884,18590131,    0,    0
138884,18590201,   57,    0
138884,18590202,    0,    0
138884,18590203,    3,    0
138884,18590204,    0,    0
138884,18590205,    0,    0
138884,18590206,    0,    0
138884,18590207,    0,    0
138884,18590208,    0,    0
138884,18590209,   18,    0
138884,18590210,    7,    0
138884,18590211,    2,    0
138884,18590212,    3,    0
138884,18590213,   15,    0
138884,18590214,   16,    0
138884,18590215,    3,    0
138884,18590216,   30,    0
138884,18590217,    0,    0
138884,18590218,    0,    0
138884,18590219,    0,    0
138884,18590220,    0,    0
138884,18590221,    0,    0
138884,18590222,    0,    0
138884,18590223,   23,    0
138884,18590224,    2,    0
138884,18590225,    0,    0
138884,18590226,    0,    0
138884,18590227,    6,    0
138884,18590228,    9,    0
138884,18590301,    0,    0
138884,18590302,   15,    0
138884,18590303,    0,    0
138884,18590304,    3,    0
138884,18590305,    0,    0
138884,18590306,    0,    0
138884,18590307,   14,    0
138884,18590308,    3,    0
138884,18590309,    9,    0
138884,18590310,    0,    0
138884,18590311,   17,    0
138884,18590312,   11,    0
138884,18590313,   16,    0
138884,18590314,    0,    0
138884,18590315,    0,    0
138884,18590316,   15,    0
138884,18590317,   18,    0
138884,18590318,    1,    0
138884,18590319,    1,    0
138884,18590320,    0,    0
138884,18590321,    0,    0
138884,18590322,    1,    0
138884,18590323,    0,    0
138884,18590324,    3,    0
138884,18590325,    0,    0
138884,18590326,    0,    0
138884,18590327,    0,    0
138884,18590328,    3,    0
138884,18590329,    2,    0
138884,18590330,   20,    0
