EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, STOCKHOLM_SOL (STAID: 6930).
Blended and updated with sources: 141779 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
141779,19230101,-9999,    9
141779,19230102,-9999,    9
141779,19230103,-9999,    9
141779,19230104,-9999,    9
141779,19230105,-9999,    9
141779,19230106,-9999,    9
141779,19230107,-9999,    9
141779,19230108,-9999,    9
141779,19230109,-9999,    9
141779,19230110,-9999,    9
141779,19230111,-9999,    9
141779,19230112,-9999,    9
141779,19230113,-9999,    9
141779,19230114,-9999,    9
141779,19230115,-9999,    9
141779,19230116,-9999,    9
141779,19230117,-9999,    9
141779,19230118,-9999,    9
141779,19230119,-9999,    9
141779,19230120,-9999,    9
141779,19230121,-9999,    9
141779,19230122,-9999,    9
141779,19230123,-9999,    9
141779,19230124,-9999,    9
141779,19230125,-9999,    9
141779,19230126,-9999,    9
141779,19230127,-9999,    9
141779,19230128,-9999,    9
141779,19230129,-9999,    9
141779,19230130,-9999,    9
141779,19230131,-9999,    9
141779,19230201,    0,    0
141779,19230202,    0,    0
141779,19230203,    0,    0
141779,19230204,    0,    0
141779,19230205,    9,    0
141779,19230206,    0,    0
141779,19230207,    0,    0
141779,19230208,   44,    0
141779,19230209,   33,    0
141779,19230210,    9,    0
141779,19230211,   13,    0
141779,19230212,   39,    0
141779,19230213,   55,    0
141779,19230214,    0,    0
141779,19230215,    0,    0
141779,19230216,    0,    0
141779,19230217,    0,    0
141779,19230218,    0,    0
141779,19230219,    0,    0
141779,19230220,    0,    0
141779,19230221,   81,    0
141779,19230222,   72,    0
141779,19230223,   53,    0
141779,19230224,    7,    0
141779,19230225,    0,    0
141779,19230226,    6,    0
141779,19230227,   36,    0
141779,19230228,   25,    0
141779,19230301,    0,    0
141779,19230302,    0,    0
141779,19230303,    0,    0
141779,19230304,    0,    0
141779,19230305,    0,    0
141779,19230306,    0,    0
141779,19230307,    0,    0
141779,19230308,    0,    0
141779,19230309,    0,    0
141779,19230310,    0,    0
141779,19230311,    0,    0
141779,19230312,    0,    0
141779,19230313,    0,    0
141779,19230314,    0,    0
141779,19230315,   87,    0
141779,19230316,   94,    0
141779,19230317,  100,    0
141779,19230318,  102,    0
141779,19230319,   89,    0
141779,19230320,   58,    0
141779,19230321,   94,    0
141779,19230322,   93,    0
141779,19230323,  101,    0
141779,19230324,   99,    0
141779,19230325,    4,    0
141779,19230326,   20,    0
141779,19230327,   33,    0
141779,19230328,   65,    0
141779,19230329,   67,    0
141779,19230330,   57,    0
141779,19230331,   46,    0
141779,19230401,  114,    0
141779,19230402,   92,    0
141779,19230403,  100,    0
141779,19230404,   37,    0
141779,19230405,    9,    0
141779,19230406,    9,    0
141779,19230407,   94,    0
141779,19230408,  118,    0
141779,19230409,  113,    0
141779,19230410,   70,    0
141779,19230411,   63,    0
141779,19230412,   89,    0
141779,19230413,   78,    0
141779,19230414,    0,    0
141779,19230415,    0,    0
141779,19230416,   51,    0
141779,19230417,  102,    0
141779,19230418,   73,    0
141779,19230419,  103,    0
141779,19230420,   67,    0
141779,19230421,  128,    0
141779,19230422,  129,    0
141779,19230423,   84,    0
141779,19230424,   12,    0
141779,19230425,    0,    0
141779,19230426,    0,    0
141779,19230427,   25,    0
141779,19230428,   28,    0
141779,19230429,   98,    0
141779,19230430,  110,    0
141779,19230501,    0,    0
141779,19230502,  125,    0
141779,19230503,   48,    0
141779,19230504,   54,    0
141779,19230505,   26,    0
141779,19230506,   78,    0
141779,19230507,  148,    0
141779,19230508,   73,    0
141779,19230509,   51,    0
141779,19230510,  104,    0
141779,19230511,   74,    0
141779,19230512,   28,    0
141779,19230513,   18,    0
141779,19230514,   22,    0
141779,19230515,  125,    0
141779,19230516,   80,    0
141779,19230517,   58,    0
141779,19230518,  128,    0
141779,19230519,   55,    0
141779,19230520,   77,    0
141779,19230521,   86,    0
141779,19230522,   35,    0
141779,19230523,   37,    0
141779,19230524,   66,    0
141779,19230525,  107,    0
141779,19230526,  107,    0
141779,19230527,    0,    0
141779,19230528,   87,    0
141779,19230529,   78,    0
141779,19230530,   29,    0
141779,19230531,   20,    0
141779,19230601,   27,    0
141779,19230602,   76,    0
141779,19230603,   18,    0
141779,19230604,   96,    0
141779,19230605,   78,    0
141779,19230606,   95,    0
141779,19230607,   71,    0
141779,19230608,   66,    0
141779,19230609,   22,    0
141779,19230610,  119,    0
141779,19230611,   44,    0
141779,19230612,   44,    0
141779,19230613,   68,    0
141779,19230614,    0,    0
141779,19230615,    4,    0
141779,19230616,   22,    0
141779,19230617,  130,    0
141779,19230618,    7,    0
141779,19230619,   93,    0
141779,19230620,    0,    0
141779,19230621,   46,    0
141779,19230622,  107,    0
141779,19230623,   98,    0
141779,19230624,  130,    0
141779,19230625,   89,    0
141779,19230626,   13,    0
141779,19230627,   87,    0
141779,19230628,   78,    0
141779,19230629,  144,    0
141779,19230630,   61,    0
141779,19230701,-9999,    9
141779,19230702,-9999,    9
141779,19230703,-9999,    9
141779,19230704,-9999,    9
141779,19230705,-9999,    9
141779,19230706,-9999,    9
141779,19230707,-9999,    9
141779,19230708,-9999,    9
141779,19230709,-9999,    9
141779,19230710,-9999,    9
141779,19230711,-9999,    9
141779,19230712,-9999,    9
141779,19230713,-9999,    9
141779,19230714,-9999,    9
141779,19230715,-9999,    9
141779,19230716,-9999,    9
141779,19230717,-9999,    9
141779,19230718,-9999,    9
141779,19230719,-9999,    9
141779,19230720,-9999,    9
141779,19230721,-9999,    9
141779,19230722,-9999,    9
141779,19230723,-9999,    9
141779,19230724,-9999,    9
141779,19230725,-9999,    9
141779,19230726,-9999,    9
141779,19230727,-9999,    9
141779,19230728,-9999,    9
141779,19230729,-9999,    9
141779,19230730,-9999,    9
141779,19230731,-9999,    9
141779,19230801,-9999,    9
141779,19230802,-9999,    9
141779,19230803,-9999,    9
141779,19230804,-9999,    9
141779,19230805,-9999,    9
141779,19230806,-9999,    9
141779,19230807,-9999,    9
141779,19230808,-9999,    9
141779,19230809,-9999,    9
141779,19230810,-9999,    9
141779,19230811,-9999,    9
141779,19230812,-9999,    9
141779,19230813,-9999,    9
141779,19230814,-9999,    9
141779,19230815,-9999,    9
141779,19230816,-9999,    9
141779,19230817,-9999,    9
141779,19230818,-9999,    9
141779,19230819,-9999,    9
141779,19230820,-9999,    9
141779,19230821,-9999,    9
141779,19230822,-9999,    9
141779,19230823,-9999,    9
141779,19230824,-9999,    9
141779,19230825,-9999,    9
141779,19230826,-9999,    9
141779,19230827,-9999,    9
