EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 175656 907240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175656,19610101,   29,    0
175656,19610102,   80,    0
175656,19610103,   86,    0
175656,19610104,   51,    0
175656,19610105,   52,    0
175656,19610106,   68,    0
175656,19610107,   40,    0
175656,19610108,   58,    0
175656,19610109,   58,    0
175656,19610110,   42,    0
175656,19610111,   78,    0
175656,19610112,   41,    0
175656,19610113,   20,    0
175656,19610114,   35,    0
175656,19610115,   65,    0
175656,19610116,    8,    0
175656,19610117,   12,    0
175656,19610118,   38,    0
175656,19610119,   49,    0
175656,19610120,   45,    0
175656,19610121,   32,    0
175656,19610122,   40,    0
175656,19610123,   35,    0
175656,19610124,   52,    0
175656,19610125,   54,    0
175656,19610126,   25,    0
175656,19610127,   46,    0
175656,19610128,   80,    0
175656,19610129,   85,    0
175656,19610130,  102,    0
175656,19610131,   80,    0
175656,19610201,   69,    0
175656,19610202,  104,    0
175656,19610203,   78,    0
175656,19610204,   79,    0
175656,19610205,   61,    0
175656,19610206,   95,    0
175656,19610207,   62,    0
175656,19610208,   60,    0
175656,19610209,   69,    0
175656,19610210,   18,    0
175656,19610211,   62,    0
175656,19610212,   36,    0
175656,19610213,   21,    0
175656,19610214,   22,    0
175656,19610215,   22,    0
175656,19610216,   21,    0
175656,19610217,   20,    0
175656,19610218,   26,    0
175656,19610219,   35,    0
175656,19610220,   39,    0
175656,19610221,    5,    0
175656,19610222,    6,    0
175656,19610223,   26,    0
175656,19610224,   55,    0
175656,19610225,   52,    0
175656,19610226,   51,    0
175656,19610227,   56,    0
175656,19610228,   75,    0
175656,19610301,   45,    0
175656,19610302,   22,    0
175656,19610303,   39,    0
175656,19610304,   48,    0
175656,19610305,   44,    0
175656,19610306,   15,    0
175656,19610307,   19,    0
175656,19610308,   46,    0
175656,19610309,   30,    0
175656,19610310,   46,    0
175656,19610311,   18,    0
175656,19610312,   11,    0
175656,19610313,   41,    0
175656,19610314,   42,    0
175656,19610315,   56,    0
175656,19610316,   50,    0
175656,19610317,   34,    0
175656,19610318,   55,    0
175656,19610319,   38,    0
175656,19610320,   36,    0
175656,19610321,   54,    0
175656,19610322,   39,    0
175656,19610323,   34,    0
175656,19610324,   51,    0
175656,19610325,   39,    0
175656,19610326,   36,    0
175656,19610327,   45,    0
175656,19610328,   28,    0
175656,19610329,   26,    0
175656,19610330,   70,    0
175656,19610331,   42,    0
175656,19610401,   36,    0
175656,19610402,   44,    0
175656,19610403,   44,    0
175656,19610404,   32,    0
175656,19610405,   56,    0
175656,19610406,   51,    0
175656,19610407,   31,    0
175656,19610408,   22,    0
175656,19610409,   28,    0
175656,19610410,   52,    0
175656,19610411,   14,    0
175656,19610412,   26,    0
175656,19610413,   29,    0
175656,19610414,   50,    0
175656,19610415,   16,    0
175656,19610416,   38,    0
175656,19610417,   29,    0
175656,19610418,   24,    0
175656,19610419,   35,    0
175656,19610420,   38,    0
175656,19610421,   50,    0
175656,19610422,   54,    0
175656,19610423,   40,    0
175656,19610424,   18,    0
175656,19610425,   61,    0
175656,19610426,   92,    0
175656,19610427,   28,    0
175656,19610428,   49,    0
175656,19610429,   50,    0
175656,19610430,   39,    0
175656,19610501,   56,    0
175656,19610502,   75,    0
175656,19610503,   45,    0
175656,19610504,   51,    0
175656,19610505,   32,    0
175656,19610506,   58,    0
175656,19610507,   62,    0
175656,19610508,   44,    0
175656,19610509,   42,    0
175656,19610510,   42,    0
175656,19610511,   48,    0
175656,19610512,   11,    0
175656,19610513,   19,    0
175656,19610514,   40,    0
175656,19610515,   35,    0
175656,19610516,   68,    0
175656,19610517,   74,    0
175656,19610518,   71,    0
175656,19610519,   35,    0
175656,19610520,   40,    0
175656,19610521,   39,    0
175656,19610522,   49,    0
175656,19610523,   48,    0
175656,19610524,   54,    0
175656,19610525,   29,    0
175656,19610526,   55,    0
175656,19610527,   70,    0
175656,19610528,   40,    0
175656,19610529,   26,    0
175656,19610530,   62,    0
175656,19610531,   42,    0
175656,19610601,-9999,    9
175656,19610602,-9999,    9
175656,19610603,-9999,    9
175656,19610604,-9999,    9
175656,19610605,-9999,    9
175656,19610606,-9999,    9
175656,19610607,-9999,    9
175656,19610608,-9999,    9
175656,19610609,-9999,    9
175656,19610610,-9999,    9
175656,19610611,-9999,    9
175656,19610612,-9999,    9
175656,19610613,-9999,    9
175656,19610614,-9999,    9
175656,19610615,-9999,    9
175656,19610616,-9999,    9
175656,19610617,-9999,    9
175656,19610618,-9999,    9
175656,19610619,-9999,    9
175656,19610620,-9999,    9
175656,19610621,-9999,    9
175656,19610622,-9999,    9
175656,19610623,-9999,    9
175656,19610624,-9999,    9
175656,19610625,-9999,    9
175656,19610626,-9999,    9
175656,19610627,-9999,    9
175656,19610628,-9999,    9
175656,19610629,-9999,    9
175656,19610630,-9999,    9
175656,19610701,-9999,    9
175656,19610702,-9999,    9
175656,19610703,-9999,    9
175656,19610704,-9999,    9
175656,19610705,-9999,    9
175656,19610706,-9999,    9
175656,19610707,-9999,    9
175656,19610708,-9999,    9
175656,19610709,-9999,    9
175656,19610710,-9999,    9
175656,19610711,-9999,    9
175656,19610712,-9999,    9
175656,19610713,-9999,    9
175656,19610714,-9999,    9
175656,19610715,-9999,    9
175656,19610716,-9999,    9
175656,19610717,-9999,    9
175656,19610718,-9999,    9
175656,19610719,-9999,    9
175656,19610720,-9999,    9
175656,19610721,-9999,    9
175656,19610722,-9999,    9
175656,19610723,-9999,    9
175656,19610724,-9999,    9
175656,19610725,-9999,    9
175656,19610726,-9999,    9
175656,19610727,-9999,    9
175656,19610728,-9999,    9
175656,19610729,-9999,    9
175656,19610730,-9999,    9
175656,19610731,-9999,    9
175656,19610801,-9999,    9
175656,19610802,-9999,    9
175656,19610803,-9999,    9
175656,19610804,-9999,    9
175656,19610805,-9999,    9
175656,19610806,-9999,    9
175656,19610807,-9999,    9
175656,19610808,-9999,    9
175656,19610809,-9999,    9
175656,19610810,-9999,    9
175656,19610811,-9999,    9
175656,19610812,-9999,    9
175656,19610813,-9999,    9
175656,19610814,-9999,    9
175656,19610815,-9999,    9
175656,19610816,-9999,    9
175656,19610817,-9999,    9
175656,19610818,-9999,    9
175656,19610819,-9999,    9
175656,19610820,-9999,    9
175656,19610821,-9999,    9
175656,19610822,-9999,    9
175656,19610823,-9999,    9
175656,19610824,-9999,    9
175656,19610825,-9999,    9
175656,19610826,-9999,    9
175656,19610827,-9999,    9
175656,19610828,-9999,    9
175656,19610829,-9999,    9
175656,19610830,-9999,    9
175656,19610831,-9999,    9
175656,19610901,   15,    0
175656,19610902,   31,    0
175656,19610903,   24,    0
