EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 175655 907240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175655,19610101,   92,    0
175655,19610102,   95,    0
175655,19610103,   88,    0
175655,19610104,   90,    0
175655,19610105,   87,    0
175655,19610106,   91,    0
175655,19610107,   90,    0
175655,19610108,   91,    0
175655,19610109,   91,    0
175655,19610110,   91,    0
175655,19610111,   79,    0
175655,19610112,   82,    0
175655,19610113,   80,    0
175655,19610114,   84,    0
175655,19610115,   84,    0
175655,19610116,   96,    0
175655,19610117,   93,    0
175655,19610118,   87,    0
175655,19610119,   85,    0
175655,19610120,   92,    0
175655,19610121,   93,    0
175655,19610122,   85,    0
175655,19610123,   99,    0
175655,19610124,   96,    0
175655,19610125,   95,    0
175655,19610126,   79,    0
175655,19610127,   88,    0
175655,19610128,   92,    0
175655,19610129,   84,    0
175655,19610130,   94,    0
175655,19610131,   89,    0
175655,19610201,   86,    0
175655,19610202,   84,    0
175655,19610203,   85,    0
175655,19610204,   91,    0
175655,19610205,   88,    0
175655,19610206,   91,    0
175655,19610207,   87,    0
175655,19610208,   90,    0
175655,19610209,   84,    0
175655,19610210,   97,    0
175655,19610211,   95,    0
175655,19610212,   87,    0
175655,19610213,   86,    0
175655,19610214,   78,    0
175655,19610215,   90,    0
175655,19610216,   92,    0
175655,19610217,   79,    0
175655,19610218,   91,    0
175655,19610219,   88,    0
175655,19610220,   91,    0
175655,19610221,   99,    0
175655,19610222,   96,    0
175655,19610223,   96,    0
175655,19610224,   75,    0
175655,19610225,   80,    0
175655,19610226,   85,    0
175655,19610227,   85,    0
175655,19610228,   79,    0
175655,19610301,   88,    0
175655,19610302,   86,    0
175655,19610303,   83,    0
175655,19610304,   75,    0
175655,19610305,   74,    0
175655,19610306,   72,    0
175655,19610307,   74,    0
175655,19610308,   84,    0
175655,19610309,   74,    0
175655,19610310,   88,    0
175655,19610311,   83,    0
175655,19610312,   76,    0
175655,19610313,   86,    0
175655,19610314,   85,    0
175655,19610315,   81,    0
175655,19610316,   73,    0
175655,19610317,   78,    0
175655,19610318,   76,    0
175655,19610319,   78,    0
175655,19610320,   74,    0
175655,19610321,   74,    0
175655,19610322,   74,    0
175655,19610323,   70,    0
175655,19610324,   71,    0
