EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 175654 907240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
175654,19610101,    0,    1
175654,19610102,    0,    1
175654,19610103,    0,    1
175654,19610104,    0,    1
175654,19610105,    0,    1
175654,19610106,    0,    1
175654,19610107,    0,    1
175654,19610108,    1,    1
175654,19610109,    0,    1
175654,19610110,    0,    1
175654,19610111,    0,    1
175654,19610112,    0,    1
175654,19610113,    0,    1
175654,19610114,    0,    1
175654,19610115,    0,    1
175654,19610116,    0,    1
175654,19610117,    0,    1
175654,19610118,    0,    1
175654,19610119,    0,    1
175654,19610120,    0,    1
175654,19610121,    0,    1
175654,19610122,    0,    1
175654,19610123,    0,    1
175654,19610124,    0,    1
175654,19610125,    1,    1
175654,19610126,    0,    1
175654,19610127,    0,    1
175654,19610128,    0,    1
175654,19610129,    1,    1
175654,19610130,    0,    1
175654,19610131,    0,    1
175654,19610201,    0,    1
175654,19610202,    0,    1
175654,19610203,    0,    1
175654,19610204,    0,    1
175654,19610205,    0,    1
175654,19610206,    1,    1
175654,19610207,    0,    1
175654,19610208,    0,    1
175654,19610209,    0,    1
175654,19610210,    0,    1
175654,19610211,    0,    1
175654,19610212,    0,    1
175654,19610213,    0,    1
175654,19610214,    0,    1
175654,19610215,    0,    1
