EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 106190 907240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
106190,19591101,    6,    0
106190,19591102,    0,    0
106190,19591103,    0,    0
106190,19591104,   24,    0
106190,19591105,    0,    0
106190,19591106,    0,    0
106190,19591107,    0,    0
106190,19591108,    0,    0
106190,19591109,   24,    0
106190,19591110,    0,    0
106190,19591111,   78,    0
106190,19591112,    0,    0
106190,19591113,   32,    0
106190,19591114,   55,    0
106190,19591115,    0,    0
106190,19591116,   31,    0
106190,19591117,  132,    0
106190,19591118,   31,    0
106190,19591119,    0,    0
106190,19591120,    0,    0
106190,19591121,    0,    0
106190,19591122,    0,    0
106190,19591123,    0,    0
106190,19591124,    0,    0
106190,19591125,    0,    0
106190,19591126,  182,    0
106190,19591127,    0,    0
106190,19591128,   17,    0
106190,19591129,    9,    0
106190,19591130,    0,    0
106190,19591201,    0,    0
106190,19591202,    4,    0
106190,19591203,   82,    0
106190,19591204,    0,    0
106190,19591205,    0,    0
106190,19591206,   58,    0
106190,19591207,    7,    0
106190,19591208,    0,    0
106190,19591209,   59,    0
106190,19591210,   23,    0
106190,19591211,   15,    0
106190,19591212,    1,    0
106190,19591213,    0,    0
106190,19591214,    0,    0
106190,19591215,    0,    0
106190,19591216,   16,    0
106190,19591217,   27,    0
106190,19591218,    0,    0
106190,19591219,   17,    0
106190,19591220,   88,    0
106190,19591221,   18,    0
106190,19591222,   15,    0
106190,19591223,   15,    0
106190,19591224,  105,    0
106190,19591225,   40,    0
106190,19591226,   31,    0
106190,19591227,   91,    0
106190,19591228,    4,    0
106190,19591229,  114,    0
106190,19591230,    0,    0
106190,19591231,    0,    0
106190,19600101,   44,    0
106190,19600102,   71,    0
106190,19600103,   10,    0
106190,19600104,   10,    0
106190,19600105,    0,    0
106190,19600106,    0,    0
106190,19600107,    0,    0
106190,19600108,    0,    0
106190,19600109,    0,    0
106190,19600110,    0,    0
106190,19600111,    0,    0
106190,19600112,   25,    0
106190,19600113,   30,    0
106190,19600114,    7,    0
106190,19600115,    3,    0
106190,19600116,   19,    0
106190,19600117,    0,    0
106190,19600118,    0,    0
106190,19600119,   54,    0
106190,19600120,   20,    0
106190,19600121,    0,    0
106190,19600122,    0,    0
106190,19600123,   51,    0
106190,19600124,   47,    0
106190,19600125,   94,    0
106190,19600126,    8,    0
106190,19600127,   21,    0
106190,19600128,    0,    0
106190,19600129,    0,    0
106190,19600130,    0,    0
106190,19600131,    0,    0
106190,19600201,    0,    0
106190,19600202,    0,    0
106190,19600203,   16,    0
106190,19600204,   36,    0
106190,19600205,    0,    0
106190,19600206,    0,    0
106190,19600207,    0,    0
106190,19600208,    0,    0
106190,19600209,    0,    0
106190,19600210,    0,    0
106190,19600211,    5,    0
106190,19600212,   24,    0
106190,19600213,   13,    0
106190,19600214,    3,    0
106190,19600215,   26,    0
106190,19600216,    0,    0
106190,19600217,    0,    0
106190,19600218,   26,    0
106190,19600219,   11,    0
106190,19600220,   24,    0
106190,19600221,   57,    0
106190,19600222,   53,    0
106190,19600223,    6,    0
106190,19600224,   70,    0
106190,19600225,   20,    0
106190,19600226,   24,    0
106190,19600227,    5,    0
106190,19600228,    0,    0
106190,19600229,   15,    0
106190,19600301,  141,    0
106190,19600302,   99,    0
106190,19600303,   29,    0
106190,19600304,    0,    0
106190,19600305,    0,    0
106190,19600306,    0,    0
106190,19600307,    0,    0
106190,19600308,   26,    0
106190,19600309,   29,    0
106190,19600310,  203,    0
106190,19600311,    1,    0
106190,19600312,    6,    0
106190,19600313,   43,    0
106190,19600314,   38,    0
106190,19600315,   20,    0
106190,19600316,    0,    0
106190,19600317,    0,    0
106190,19600318,    0,    0
106190,19600319,    0,    0
106190,19600320,    0,    0
106190,19600321,    0,    0
106190,19600322,    0,    0
106190,19600323,    0,    0
106190,19600324,    0,    0
106190,19600325,    0,    0
106190,19600326,    0,    0
106190,19600327,    8,    0
106190,19600328,   81,    0
106190,19600329,    0,    0
106190,19600330,    0,    0
106190,19600331,    7,    0
106190,19600401,    0,    0
106190,19600402,    2,    0
106190,19600403,   60,    0
106190,19600404,    0,    0
106190,19600405,    0,    0
106190,19600406,    0,    0
106190,19600407,    0,    0
106190,19600408,    0,    0
106190,19600409,    0,    0
106190,19600410,    0,    0
106190,19600411,    0,    0
106190,19600412,    1,    0
106190,19600413,   12,    0
106190,19600414,    0,    0
106190,19600415,   62,    0
106190,19600416,    8,    0
106190,19600417,    0,    0
106190,19600418,    1,    0
106190,19600419,   41,    0
106190,19600420,    0,    0
106190,19600421,    0,    0
106190,19600422,    0,    0
106190,19600423,    0,    0
106190,19600424,    0,    0
106190,19600425,    0,    0
106190,19600426,    0,    0
106190,19600427,    0,    0
106190,19600428,    0,    0
106190,19600429,    0,    0
106190,19600430,    0,    0
106190,19600501,    0,    0
106190,19600502,    0,    0
106190,19600503,    0,    0
106190,19600504,    0,    0
106190,19600505,    0,    0
106190,19600506,    0,    0
106190,19600507,    0,    0
106190,19600508,    0,    0
106190,19600509,    0,    0
106190,19600510,   44,    0
106190,19600511,    0,    0
106190,19600512,  116,    0
106190,19600513,   47,    0
106190,19600514,   11,    0
106190,19600515,    0,    0
106190,19600516,    0,    0
106190,19600517,   13,    0
106190,19600518,   64,    0
106190,19600519,  130,    0
106190,19600520,    7,    0
106190,19600521,   50,    0
106190,19600522,    0,    0
106190,19600523,   16,    0
106190,19600524,   25,    0
106190,19600525,    0,    0
106190,19600526,    0,    0
106190,19600527,    0,    0
106190,19600528,    0,    0
106190,19600529,    0,    0
106190,19600530,    0,    0
106190,19600531,    0,    0
106190,19600601,    0,    0
106190,19600602,    0,    0
106190,19600603,    0,    0
106190,19600604,    0,    0
106190,19600605,  199,    0
106190,19600606,   76,    0
106190,19600607,    0,    0
106190,19600608,   74,    0
106190,19600609,   57,    0
106190,19600610,   57,    0
106190,19600611,    0,    0
106190,19600612,    0,    0
106190,19600613,    0,    0
106190,19600614,   20,    0
106190,19600615,    0,    0
106190,19600616,    0,    0
106190,19600617,    0,    0
106190,19600618,    0,    0
106190,19600619,    0,    0
106190,19600620,    0,    0
106190,19600621,    0,    0
106190,19600622,   10,    0
106190,19600623,   39,    0
106190,19600624,    0,    0
106190,19600625,   12,    0
106190,19600626,    0,    0
106190,19600627,    0,    0
106190,19600628,    0,    0
106190,19600629,    0,    0
106190,19600630,    0,    0
106190,19600701,    0,    0
106190,19600702,    0,    0
106190,19600703,    0,    0
106190,19600704,    0,    0
106190,19600705,   13,    0
106190,19600706,   82,    0
106190,19600707,   10,    0
106190,19600708,    6,    0
106190,19600709,   81,    0
106190,19600710,  144,    0
106190,19600711,   24,    0
106190,19600712,    0,    0
106190,19600713,    0,    0
106190,19600714,    0,    0
106190,19600715,   24,    0
106190,19600716,    0,    0
106190,19600717,   23,    0
106190,19600718,    0,    0
106190,19600719,    0,    0
106190,19600720,    0,    0
106190,19600721,    0,    0
106190,19600722,    0,    0
106190,19600723,   78,    0
106190,19600724,    0,    0
106190,19600725,    0,    0
106190,19600726,    0,    0
106190,19600727,    4,    0
106190,19600728,    0,    0
106190,19600729,  114,    0
106190,19600730,   39,    0
106190,19600731,    0,    0
106190,19600801,   33,    0
106190,19600802,    0,    0
106190,19600803,    0,    0
106190,19600804,    0,    0
106190,19600805,    7,    0
106190,19600806,    0,    0
106190,19600807,    0,    0
106190,19600808,  104,    0
106190,19600809,   69,    0
106190,19600810,   36,    0
106190,19600811,   66,    0
106190,19600812,    9,    0
106190,19600813,   87,    0
106190,19600814,   31,    0
106190,19600815,    0,    0
106190,19600816,    0,    0
106190,19600817,    7,    0
106190,19600818,    0,    0
106190,19600819,    0,    0
106190,19600820,    0,    0
106190,19600821,    0,    0
106190,19600822,    0,    0
106190,19600823,    0,    0
106190,19600824,    0,    0
106190,19600825,  122,    0
106190,19600826,    0,    0
106190,19600827,    0,    0
106190,19600828,   20,    0
106190,19600829,   11,    0
106190,19600830,    0,    0
106190,19600831,    0,    0
106190,19600901,    0,    0
106190,19600902,    0,    0
106190,19600903,    2,    0
106190,19600904,  131,    0
106190,19600905,    0,    0
106190,19600906,  127,    0
106190,19600907,    3,    0
106190,19600908,    0,    0
106190,19600909,    0,    0
106190,19600910,    0,    0
106190,19600911,    0,    0
106190,19600912,    0,    0
106190,19600913,    0,    0
106190,19600914,    8,    0
106190,19600915,   98,    0
106190,19600916,   18,    0
106190,19600917,    3,    0
106190,19600918,   20,    0
106190,19600919,   39,    0
106190,19600920,    9,    0
106190,19600921,    0,    0
106190,19600922,    0,    0
106190,19600923,    0,    0
106190,19600924,    0,    0
106190,19600925,    0,    0
106190,19600926,    0,    0
106190,19600927,    8,    0
106190,19600928,    0,    0
106190,19600929,  100,    0
106190,19600930,  106,    0
106190,19601001,    0,    0
106190,19601002,   14,    0
106190,19601003,   95,    0
106190,19601004,   28,    0
106190,19601005,    6,    0
106190,19601006,    3,    0
106190,19601007,    2,    0
106190,19601008,   30,    0
106190,19601009,   51,    0
106190,19601010,   40,    0
106190,19601011,   15,    0
106190,19601012,    6,    0
106190,19601013,    0,    0
106190,19601014,    0,    0
106190,19601015,    0,    0
106190,19601016,    4,    0
106190,19601017,    0,    0
106190,19601018,    0,    0
106190,19601019,   52,    0
106190,19601020,   38,    0
106190,19601021,   77,    0
106190,19601022,   79,    0
106190,19601023,   10,    0
106190,19601024,   35,    0
106190,19601025,   73,    0
106190,19601026,   10,    0
106190,19601027,   12,    0
106190,19601028,  160,    0
106190,19601029,  210,    0
106190,19601030,   19,    0
106190,19601031,   56,    0
106190,19601101,   38,    0
106190,19601102,    0,    0
106190,19601103,  163,    0
106190,19601104,   79,    0
106190,19601105,    8,    0
106190,19601106,    9,    0
106190,19601107,    0,    0
106190,19601108,    0,    0
106190,19601109,    6,    0
106190,19601110,   15,    0
106190,19601111,    6,    0
106190,19601112,    4,    0
106190,19601113,   34,    0
106190,19601114,   48,    0
106190,19601115,   53,    0
106190,19601116,    0,    0
106190,19601117,   41,    0
106190,19601118,   87,    0
106190,19601119,    8,    0
106190,19601120,    0,    0
106190,19601121,   49,    0
106190,19601122,    0,    0
106190,19601123,   12,    0
106190,19601124,    8,    0
106190,19601125,   42,    0
106190,19601126,    4,    0
106190,19601127,   25,    0
106190,19601128,   30,    0
106190,19601129,    0,    0
106190,19601130,    0,    0
106190,19601201,   52,    0
106190,19601202,    0,    0
106190,19601203,    0,    0
106190,19601204,  223,    0
106190,19601205,   66,    0
106190,19601206,   19,    0
106190,19601207,    0,    0
106190,19601208,    0,    0
106190,19601209,    4,    0
106190,19601210,   55,    0
106190,19601211,    0,    0
106190,19601212,    0,    0
106190,19601213,    0,    0
106190,19601214,    0,    0
106190,19601215,    0,    0
106190,19601216,    0,    0
106190,19601217,    0,    0
106190,19601218,    4,    0
106190,19601219,  154,    0
106190,19601220,   54,    0
106190,19601221,   15,    0
