EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 104929 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
104929,19610101,   46,    0
104929,19610102,    0,    0
104929,19610103,   12,    0
104929,19610104,   42,    0
104929,19610105,   50,    0
104929,19610106,   18,    0
104929,19610107,   54,    0
104929,19610108,   40,    0
104929,19610109,    4,    0
104929,19610110,    7,    0
104929,19610111,   51,    0
104929,19610112,   84,    0
104929,19610113,   59,    0
104929,19610114,    0,    0
104929,19610115,    0,    0
104929,19610116,    0,    0
104929,19610117,   24,    0
104929,19610118,   62,    0
104929,19610119,    0,    0
104929,19610120,   14,    0
104929,19610121,   21,    0
104929,19610122,   58,    0
104929,19610123,    0,    0
104929,19610124,    0,    0
104929,19610125,    6,    0
104929,19610126,    0,    0
104929,19610127,    0,    0
104929,19610128,    8,    0
104929,19610129,   24,    0
104929,19610130,    0,    0
104929,19610131,   18,    0
104929,19610201,   53,    0
104929,19610202,   28,    0
104929,19610203,   24,    0
104929,19610204,    0,    0
104929,19610205,    6,    0
104929,19610206,   21,    0
104929,19610207,   48,    0
104929,19610208,    2,    0
104929,19610209,   52,    0
104929,19610210,    6,    0
104929,19610211,    0,    0
104929,19610212,   58,    0
104929,19610213,   84,    0
104929,19610214,   66,    0
104929,19610215,   80,    0
104929,19610216,   77,    0
104929,19610217,   79,    0
104929,19610218,   31,    0
104929,19610219,   49,    0
104929,19610220,    0,    0
104929,19610221,    0,    0
104929,19610222,    0,    0
104929,19610223,    0,    0
104929,19610224,   49,    0
104929,19610225,   34,    0
104929,19610226,   17,    0
104929,19610227,    8,    0
104929,19610228,   50,    0
104929,19610301,    2,    0
104929,19610302,    6,    0
104929,19610303,   64,    0
104929,19610304,   82,    0
104929,19610305,   82,    0
104929,19610306,   82,    0
104929,19610307,   72,    0
104929,19610308,   64,    0
104929,19610309,   54,    0
104929,19610310,    0,    0
104929,19610311,   90,    0
104929,19610312,   75,    0
104929,19610313,   32,    0
104929,19610314,   65,    0
104929,19610315,   77,    0
104929,19610316,   78,    0
104929,19610317,   78,    0
104929,19610318,   44,    0
104929,19610319,   58,    0
104929,19610320,   99,    0
104929,19610321,   74,    0
104929,19610322,   81,    0
104929,19610323,   82,    0
104929,19610324,   94,    0
104929,19610325,   84,    0
104929,19610326,  110,    0
104929,19610327,   60,    0
104929,19610328,  107,    0
104929,19610329,   95,    0
104929,19610330,    0,    0
104929,19610331,   13,    0
104929,19610401,    4,    0
104929,19610402,    9,    0
104929,19610403,   41,    0
104929,19610404,   53,    0
104929,19610405,   56,    0
104929,19610406,   87,    0
104929,19610407,   76,    0
104929,19610408,  101,    0
104929,19610409,  118,    0
104929,19610410,   15,    0
104929,19610411,   80,    0
104929,19610412,   97,    0
104929,19610413,   23,    0
104929,19610414,   70,    0
104929,19610415,   58,    0
104929,19610416,  104,    0
104929,19610417,   90,    0
104929,19610418,   43,    0
104929,19610419,   61,    0
104929,19610420,    0,    0
104929,19610421,    8,    0
104929,19610422,   11,    0
104929,19610423,   58,    0
104929,19610424,   80,    0
104929,19610425,   42,    0
104929,19610426,    9,    0
104929,19610427,   80,    0
104929,19610428,   65,    0
104929,19610429,   73,    0
104929,19610430,   22,    0
104929,19610501,   10,    0
104929,19610502,  107,    0
104929,19610503,   23,    0
104929,19610504,   78,    0
104929,19610505,    7,    0
104929,19610506,   45,    0
104929,19610507,   40,    0
104929,19610508,  106,    0
104929,19610509,   76,    0
104929,19610510,   76,    0
104929,19610511,  115,    0
104929,19610512,  117,    0
104929,19610513,  114,    0
104929,19610514,  108,    0
104929,19610515,   79,    0
104929,19610516,   97,    0
104929,19610517,   74,    0
104929,19610518,   36,    0
104929,19610519,   54,    0
104929,19610520,   28,    0
104929,19610521,   74,    0
104929,19610522,   32,    0
104929,19610523,   30,    0
104929,19610524,   89,    0
104929,19610525,    0,    0
104929,19610526,    3,    0
104929,19610527,    5,    0
104929,19610528,  105,    0
104929,19610529,   38,    0
104929,19610530,  121,    0
104929,19610531,    4,    0
104929,19610601,    7,    0
104929,19610602,    1,    0
104929,19610603,   56,    0
104929,19610604,   65,    0
104929,19610605,   14,    0
104929,19610606,    1,    0
104929,19610607,   58,    0
104929,19610608,    7,    0
104929,19610609,   91,    0
104929,19610610,   36,    0
104929,19610611,   14,    0
104929,19610612,   21,    0
104929,19610613,   34,    0
104929,19610614,  113,    0
104929,19610615,  116,    0
104929,19610616,  105,    0
104929,19610617,  100,    0
104929,19610618,  107,    0
104929,19610619,   50,    0
104929,19610620,  124,    0
104929,19610621,  126,    0
104929,19610622,  128,    0
104929,19610623,  130,    0
104929,19610624,  116,    0
104929,19610625,  123,    0
104929,19610626,   76,    0
104929,19610627,   57,    0
104929,19610628,  128,    0
104929,19610629,  126,    0
104929,19610630,  125,    0
104929,19610701,  118,    0
104929,19610702,   85,    0
104929,19610703,  105,    0
104929,19610704,   73,    0
104929,19610705,  104,    0
104929,19610706,  132,    0
104929,19610707,  117,    0
104929,19610708,  112,    0
104929,19610709,   12,    0
104929,19610710,   60,    0
104929,19610711,   81,    0
104929,19610712,   51,    0
104929,19610713,   30,    0
104929,19610714,   57,    0
104929,19610715,   55,    0
104929,19610716,   26,    0
104929,19610717,   31,    0
104929,19610718,    3,    0
