EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, TOURS (STAID: 2190).
Blended and updated with sources: 106676 907240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
106676,19591101,   43,    0
106676,19591102,  104,    0
106676,19591103,  100,    0
106676,19591104,   62,    0
106676,19591105,   64,    0
106676,19591106,   20,    0
106676,19591107,    0,    0
106676,19591108,   10,    0
106676,19591109,  -30,    0
106676,19591110,   40,    0
106676,19591111,   40,    0
106676,19591112,   -2,    0
106676,19591113,   20,    0
106676,19591114,   50,    0
106676,19591115,   40,    0
106676,19591116,   35,    0
106676,19591117,   42,    0
106676,19591118,   70,    0
106676,19591119,   71,    0
106676,19591120,   78,    0
106676,19591121,   60,    0
106676,19591122,   40,    0
106676,19591123,   64,    0
106676,19591124,   37,    0
106676,19591125,   58,    0
106676,19591126,   15,    0
106676,19591127,   69,    0
106676,19591128,   19,    0
106676,19591129,   54,    0
106676,19591130,   46,    0
106676,19591201,   14,    0
106676,19591202,   18,    0
106676,19591203,   62,    0
106676,19591204,   36,    0
106676,19591205,   13,    0
106676,19591206,   34,    0
106676,19591207,   62,    0
106676,19591208,   40,    0
106676,19591209,   20,    0
106676,19591210,   54,    0
106676,19591211,   47,    0
106676,19591212,   28,    0
106676,19591213,   16,    0
106676,19591214,   33,    0
106676,19591215,   -8,    0
106676,19591216,    2,    0
106676,19591217,   62,    0
106676,19591218,   41,    0
106676,19591219,   13,    0
106676,19591220,   74,    0
106676,19591221,   42,    0
106676,19591222,    2,    0
106676,19591223,   64,    0
106676,19591224,   40,    0
106676,19591225,   40,    0
106676,19591226,   98,    0
106676,19591227,   50,    0
106676,19591228,   53,    0
106676,19591229,   52,    0
106676,19591230,  102,    0
106676,19591231,   40,    0
106676,19600101,   78,    0
106676,19600102,   70,    0
106676,19600103,   90,    0
106676,19600104,   99,    0
106676,19600105,  107,    0
106676,19600106,   15,    0
106676,19600107,   -4,    0
106676,19600108,    4,    0
106676,19600109,  -14,    0
106676,19600110,  -56,    0
106676,19600111,  -88,    0
106676,19600112,  -38,    0
106676,19600113, -130,    0
106676,19600114, -115,    0
106676,19600115, -115,    0
106676,19600116, -137,    0
106676,19600117,  -42,    0
106676,19600118,  -42,    0
106676,19600119,  -52,    0
106676,19600120,   26,    0
106676,19600121,   32,    0
106676,19600122,   68,    0
106676,19600123,   64,    0
106676,19600124,   94,    0
106676,19600125,   78,    0
106676,19600126,   20,    0
106676,19600127,   40,    0
106676,19600128,   50,    0
106676,19600129,   -3,    0
106676,19600130,  -20,    0
106676,19600131,  -20,    0
106676,19600201,  -20,    0
106676,19600202,   24,    0
106676,19600203,   24,    0
106676,19600204,   46,    0
106676,19600205,   -8,    0
106676,19600206,    0,    0
106676,19600207,  -17,    0
106676,19600208,  -50,    0
106676,19600209,  -52,    0
106676,19600210,  -70,    0
106676,19600211,  -16,    0
106676,19600212,   -6,    0
106676,19600213,   13,    0
106676,19600214,  -10,    0
106676,19600215,    0,    0
106676,19600216,   20,    0
106676,19600217,   10,    0
106676,19600218,   -8,    0
106676,19600219,  -10,    0
106676,19600220,   30,    0
106676,19600221,   24,    0
106676,19600222,   55,    0
106676,19600223,   26,    0
106676,19600224,   44,    0
106676,19600225,   70,    0
106676,19600226,   35,    0
106676,19600227,  116,    0
106676,19600228,   78,    0
106676,19600229,  106,    0
106676,19600301,   74,    0
106676,19600302,   80,    0
106676,19600303,   73,    0
106676,19600304,  103,    0
106676,19600305,   33,    0
106676,19600306,   30,    0
106676,19600307,   14,    0
106676,19600308,    7,    0
106676,19600309,   74,    0
106676,19600310,   48,    0
106676,19600311,   50,    0
106676,19600312,   52,    0
106676,19600313,   40,    0
106676,19600314,   76,    0
106676,19600315,   68,    0
106676,19600316,   80,    0
106676,19600317,   62,    0
106676,19600318,   30,    0
106676,19600319,  -10,    0
106676,19600320,   -5,    0
106676,19600321,  -10,    0
106676,19600322,    4,    0
106676,19600323,   18,    0
106676,19600324,   80,    0
106676,19600325,   70,    0
106676,19600326,  100,    0
106676,19600327,   68,    0
106676,19600328,   90,    0
106676,19600329,   38,    0
106676,19600330,   40,    0
106676,19600331,   29,    0
106676,19600401,   48,    0
106676,19600402,   38,    0
106676,19600403,   80,    0
106676,19600404,   72,    0
106676,19600405,  105,    0
106676,19600406,   71,    0
106676,19600407,  104,    0
106676,19600408,  112,    0
106676,19600409,  100,    0
106676,19600410,   74,    0
106676,19600411,   62,    0
106676,19600412,   12,    0
106676,19600413,   85,    0
106676,19600414,   58,    0
106676,19600415,   38,    0
106676,19600416,   56,    0
106676,19600417,   17,    0
106676,19600418,   30,    0
106676,19600419,   38,    0
106676,19600420,   68,    0
106676,19600421,   78,    0
106676,19600422,   48,    0
106676,19600423,   49,    0
106676,19600424,   70,    0
106676,19600425,   42,    0
106676,19600426,   60,    0
106676,19600427,    4,    0
106676,19600428,   10,    0
106676,19600429,   43,    0
106676,19600430,   14,    0
106676,19600501,   22,    0
106676,19600502,   30,    0
106676,19600503,   24,    0
106676,19600504,   27,    0
106676,19600505,   65,    0
106676,19600506,   60,    0
106676,19600507,   71,    0
106676,19600508,  106,    0
106676,19600509,  120,    0
106676,19600510,   98,    0
106676,19600511,  144,    0
106676,19600512,  126,    0
106676,19600513,  115,    0
106676,19600514,  123,    0
106676,19600515,  138,    0
106676,19600516,  100,    0
106676,19600517,   80,    0
106676,19600518,  130,    0
106676,19600519,   94,    0
106676,19600520,  116,    0
106676,19600521,   86,    0
106676,19600522,  102,    0
106676,19600523,   90,    0
106676,19600524,  138,    0
106676,19600525,  124,    0
106676,19600526,   95,    0
106676,19600527,  131,    0
106676,19600528,  125,    0
106676,19600529,   95,    0
106676,19600530,   70,    0
106676,19600531,   76,    0
106676,19600601,  104,    0
106676,19600602,  118,    0
106676,19600603,  140,    0
106676,19600604,  136,    0
106676,19600605,  150,    0
106676,19600606,  152,    0
106676,19600607,   82,    0
106676,19600608,   92,    0
106676,19600609,  137,    0
106676,19600610,  122,    0
106676,19600611,   96,    0
106676,19600612,  146,    0
106676,19600613,  138,    0
106676,19600614,   74,    0
106676,19600615,   88,    0
106676,19600616,  118,    0
106676,19600617,  138,    0
106676,19600618,  165,    0
106676,19600619,  181,    0
106676,19600620,  147,    0
106676,19600621,  133,    0
106676,19600622,  144,    0
106676,19600623,  156,    0
106676,19600624,  138,    0
106676,19600625,  134,    0
106676,19600626,  145,    0
106676,19600627,  142,    0
106676,19600628,  125,    0
106676,19600629,   90,    0
106676,19600630,   66,    0
106676,19600701,   78,    0
106676,19600702,   72,    0
106676,19600703,  106,    0
106676,19600704,  110,    0
106676,19600705,  149,    0
106676,19600706,  142,    0
106676,19600707,  107,    0
106676,19600708,  115,    0
106676,19600709,  108,    0
106676,19600710,  140,    0
106676,19600711,  132,    0
106676,19600712,  112,    0
106676,19600713,  100,    0
106676,19600714,  134,    0
106676,19600715,  130,    0
106676,19600716,   90,    0
106676,19600717,  147,    0
106676,19600718,  132,    0
106676,19600719,  148,    0
106676,19600720,  110,    0
106676,19600721,  100,    0
106676,19600722,  118,    0
106676,19600723,   94,    0
106676,19600724,  130,    0
106676,19600725,  170,    0
106676,19600726,  144,    0
106676,19600727,  114,    0
106676,19600728,  138,    0
106676,19600729,  144,    0
106676,19600730,  167,    0
106676,19600731,  121,    0
106676,19600801,   98,    0
106676,19600802,  119,    0
106676,19600803,   92,    0
106676,19600804,  124,    0
106676,19600805,  139,    0
106676,19600806,  130,    0
106676,19600807,  120,    0
106676,19600808,  152,    0
106676,19600809,  137,    0
106676,19600810,  128,    0
106676,19600811,  142,    0
106676,19600812,  132,    0
106676,19600813,   68,    0
106676,19600814,  130,    0
106676,19600815,  118,    0
106676,19600816,  104,    0
106676,19600817,  118,    0
106676,19600818,  170,    0
106676,19600819,   96,    0
106676,19600820,  108,    0
106676,19600821,  124,    0
106676,19600822,  142,    0
106676,19600823,  161,    0
106676,19600824,  162,    0
106676,19600825,  155,    0
106676,19600826,  127,    0
106676,19600827,  128,    0
106676,19600828,  123,    0
106676,19600829,  133,    0
106676,19600830,  120,    0
106676,19600831,   91,    0
106676,19600901,  114,    0
106676,19600902,   97,    0
106676,19600903,  110,    0
106676,19600904,  125,    0
106676,19600905,   76,    0
106676,19600906,   78,    0
106676,19600907,  134,    0
106676,19600908,  137,    0
106676,19600909,   98,    0
106676,19600910,   88,    0
106676,19600911,  104,    0
106676,19600912,  118,    0
106676,19600913,  120,    0
106676,19600914,  130,    0
106676,19600915,  117,    0
106676,19600916,   98,    0
106676,19600917,   73,    0
106676,19600918,  113,    0
106676,19600919,   90,    0
106676,19600920,   88,    0
106676,19600921,   64,    0
106676,19600922,   63,    0
106676,19600923,   96,    0
106676,19600924,   94,    0
106676,19600925,   95,    0
106676,19600926,  100,    0
106676,19600927,  110,    0
106676,19600928,  125,    0
106676,19600929,   76,    0
106676,19600930,  105,    0
106676,19601001,   93,    0
106676,19601002,   90,    0
106676,19601003,  108,    0
106676,19601004,  132,    0
106676,19601005,  116,    0
106676,19601006,   82,    0
106676,19601007,  120,    0
106676,19601008,   92,    0
106676,19601009,   90,    0
106676,19601010,  100,    0
106676,19601011,   68,    0
106676,19601012,   50,    0
106676,19601013,   -4,    0
106676,19601014,   17,    0
106676,19601015,   27,    0
106676,19601016,  -10,    0
106676,19601017,    2,    0
106676,19601018,    0,    0
106676,19601019,   72,    0
106676,19601020,  106,    0
106676,19601021,   78,    0
106676,19601022,  102,    0
106676,19601023,  110,    0
106676,19601024,  111,    0
106676,19601025,   88,    0
106676,19601026,   90,    0
106676,19601027,   88,    0
106676,19601028,   80,    0
106676,19601029,  101,    0
106676,19601030,   74,    0
106676,19601031,  106,    0
106676,19601101,  126,    0
106676,19601102,   86,    0
106676,19601103,   98,    0
106676,19601104,   99,    0
106676,19601105,   43,    0
106676,19601106,   44,    0
106676,19601107,   14,    0
106676,19601108,   -8,    0
106676,19601109,   12,    0
106676,19601110,   10,    0
106676,19601111,   62,    0
106676,19601112,   64,    0
106676,19601113,   60,    0
106676,19601114,   90,    0
106676,19601115,   92,    0
106676,19601116,   10,    0
106676,19601117,   64,    0
106676,19601118,   62,    0
106676,19601119,   60,    0
106676,19601120,   46,    0
106676,19601121,   54,    0
106676,19601122,   68,    0
106676,19601123,   48,    0
106676,19601124,   56,    0
106676,19601125,   98,    0
106676,19601126,  108,    0
106676,19601127,  104,    0
106676,19601128,   40,    0
106676,19601129,   -5,    0
106676,19601130,   56,    0
106676,19601201,   56,    0
106676,19601202,   62,    0
106676,19601203,   16,    0
106676,19601204,   92,    0
106676,19601205,   70,    0
106676,19601206,   39,    0
106676,19601207,   29,    0
106676,19601208,    5,    0
106676,19601209,  -16,    0
106676,19601210,    0,    0
106676,19601211,   12,    0
106676,19601212,    0,    0
106676,19601213,  -18,    0
106676,19601214,  -25,    0
106676,19601215,  -46,    0
106676,19601216,  -12,    0
106676,19601217,  -10,    0
106676,19601218,  -12,    0
106676,19601219,   20,    0
106676,19601220,    8,    0
106676,19601221,    0,    0
106676,19601222,   12,    0
106676,19601223,  -22,    0
106676,19601224,   10,    0
106676,19601225,  -12,    0
106676,19601226,   55,    0
106676,19601227,   17,    0
106676,19601228,  -18,    0
106676,19601229,   18,    0
106676,19601230,   28,    0
106676,19601231,   50,    0
106676,19610101,  -14,    0
106676,19610102,   22,    0
106676,19610103,   35,    0
106676,19610104,   22,    0
106676,19610105,   -3,    0
106676,19610106,   30,    0
106676,19610107,   10,    0
106676,19610108,   51,    0
106676,19610109,   27,    0
106676,19610110,   45,    0
106676,19610111,   27,    0
106676,19610112,  -16,    0
106676,19610113,  -40,    0
106676,19610114,   -2,    0
106676,19610115,   19,    0
106676,19610116,  -32,    0
106676,19610117,  -38,    0
106676,19610118,  -28,    0
106676,19610119,  -20,    0
106676,19610120,   46,    0
106676,19610121,   41,    0
106676,19610122,   34,    0
106676,19610123,   11,    0
106676,19610124,   19,    0
106676,19610125,    4,    0
106676,19610126,  -15,    0
106676,19610127,  -30,    0
106676,19610128,   16,    0
106676,19610129,   45,    0
106676,19610130,   79,    0
106676,19610131,   79,    0
106676,19610201,   28,    0
106676,19610202,   44,    0
106676,19610203,   52,    0
106676,19610204,   24,    0
106676,19610205,   84,    0
106676,19610206,   80,    0
106676,19610207,   40,    0
106676,19610208,   46,    0
106676,19610209,   89,    0
106676,19610210,    0,    0
106676,19610211,   -5,    0
106676,19610212,   62,    0
106676,19610213,   15,    0
106676,19610214,   31,    0
106676,19610215,   28,    0
106676,19610216,   18,    0
106676,19610217,   30,    0
106676,19610218,   18,    0
106676,19610219,   13,    0
106676,19610220,   42,    0
106676,19610221,  -22,    0
106676,19610222,   22,    0
106676,19610223,    0,    0
106676,19610224,   73,    0
106676,19610225,   87,    0
106676,19610226,   62,    0
106676,19610227,  110,    0
106676,19610228,   60,    0
106676,19610301,   67,    0
106676,19610302,   50,    0
106676,19610303,   38,    0
106676,19610304,   13,    0
106676,19610305,   14,    0
106676,19610306,   11,    0
106676,19610307,   24,    0
106676,19610308,   60,    0
106676,19610309,   36,    0
106676,19610310,   46,    0
106676,19610311,   73,    0
106676,19610312,   30,    0
106676,19610313,   60,    0
106676,19610314,   92,    0
106676,19610315,   52,    0
106676,19610316,   58,    0
106676,19610317,   54,    0
106676,19610318,   80,    0
106676,19610319,    0,    0
106676,19610320,  -10,    0
106676,19610321,   18,    0
106676,19610322,  -10,    0
106676,19610323,   -5,    0
106676,19610324,   22,    0
106676,19610325,   32,    0
106676,19610326,   20,    0
106676,19610327,   30,    0
106676,19610328,   -6,    0
106676,19610329,   -3,    0
106676,19610330,   51,    0
