DATE,MONTH,cloud_cover,wind_speed,wind_gust,humidity,precipitation,sunshine,temp_mean,temp_min,temp_max
20100101,1,8,3.9,8.2,0.89,0.02,0.0,-1.1,-2.8,-0.6
20100102,1,7,3.6,8.8,0.88,0.45,1.6,-1.5,-5.8,0.6
20100103,1,8,3.0,7.7,0.92,0.0,0.3,-3.1,-5.5,0.4
20100104,1,7,2.7,8.2,0.88,0.01,1.1,-4.1,-6.9,-2.6
20100105,1,7,3.6,7.2,0.87,0.0,0.0,-2.7,-4.5,-1.5
20100106,1,6,2.2,6.5,0.84,0.08,0.5,-4.9,-8.0,-1.8
20100107,1,4,1.6,5.3,0.91,0.0,3.8,-5.4,-11.9,-2.6
20100108,1,7,4.7,13.1,0.84,0.0,1.8,-3.4,-4.9,-2.3
20100109,1,8,6.8,14.3,0.84,0.22,0.0,-1.6,-2.9,-0.4
20100110,1,8,3.2,10.0,0.81,0.04,0.0,-1.1,-2.2,-0.3
20100111,1,8,2.0,6.3,0.86,0.03,0.0,-1.0,-1.9,0.3
20100112,1,7,2.7,9.2,0.83,0.0,0.0,-2.3,-6.1,-1.0
20100113,1,6,4.8,12.0,0.8,0.0,0.0,-2.4,-7.3,0.3
20100114,1,6,3.8,8.8,0.81,0.0,5.6,2.1,-0.4,4.6
20100115,1,8,3.8,9.0,0.86,0.0,0.0,1.6,0.9,2.2
20100116,1,7,7.1,15.5,0.85,0.67,0.0,0.6,0.0,1.4
20100117,1,7,4.3,10.2,0.94,0.22,0.0,3.8,1.2,5.9
20100118,1,8,3.6,7.9,0.93,0.07,0.0,4.3,3.7,4.8
20100119,1,8,2.0,5.9,0.96,0.0,0.0,4.4,3.3,5.4
20100120,1,4,3.5,11.4,0.82,0.0,6.0,2.8,-2.4,6.3
20100121,1,8,3.5,10.9,0.76,0.0,0.0,3.0,1.3,4.0
20100122,1,7,3.9,9.1,0.77,0.0,0.0,3.3,1.9,4.9
20100123,1,8,4.9,9.4,0.79,0.0,0.9,0.3,-0.7,2.5
20100124,1,8,2.5,6.6,0.88,0.53,0.0,0.1,-0.5,1.1
20100125,1,8,1.7,4.2,0.94,0.07,0.0,-1.8,-4.1,0.0
20100126,1,3,2.5,5.8,0.84,0.0,5.9,-6.7,-11.7,-4.1
20100127,1,6,3.7,13.7,0.85,0.21,0.0,-5.0,-13.2,1.0
20100128,1,7,5.1,12.1,0.9,0.21,1.6,2.1,1.0,3.9
20100129,1,7,5.2,10.5,0.94,0.83,0.0,1.3,0.0,2.4
20100130,1,6,4.1,12.7,0.89,0.1,2.7,-1.0,-5.9,0.4
20100131,1,6,4.6,8.9,0.89,0.04,2.5,0.2,-1.8,1.7
20100201,2,7,4.7,8.8,0.88,0.05,0.0,0.4,-3.0,1.5
20100202,2,7,7.1,14.4,0.9,1.03,0.0,1.4,-4.3,4.9
20100203,2,6,3.4,8.8,0.88,0.06,3.8,1.6,-0.5,4.6
20100204,2,6,4.5,9.3,0.89,0.01,0.2,5.0,2.3,8.3
20100205,2,7,5.7,12.6,0.85,0.01,0.0,4.9,3.1,7.2
20100206,2,6,2.6,6.6,0.9,0.02,1.3,4.1,1.7,7.5
20100207,2,7,2.3,5.8,0.93,0.0,0.0,1.8,0.2,3.4
20100208,2,8,3.3,7.2,0.86,0.0,0.0,-1.1,-4.6,0.7
20100209,2,7,3.3,6.9,0.8,0.01,0.0,-4.2,-5.0,-3.8
20100210,2,8,2.8,7.2,0.84,0.04,0.0,-4.4,-5.4,-3.1
20100211,2,8,5.5,12.6,0.8,0.0,0.0,-2.8,-4.4,-1.0
20100212,2,8,3.8,7.4,0.87,0.06,0.0,-3.2,-3.7,-2.3
20100213,2,8,2.5,5.3,0.87,0.21,0.2,-2.6,-4.2,-0.8
20100214,2,8,1.5,4.3,0.89,0.02,0.0,-2.8,-4.1,-1.7
20100215,2,7,2.1,6.8,0.89,0.02,0.9,-2.7,-4.4,-0.9
20100216,2,4,4.7,10.4,0.72,0.0,7.4,-0.1,-2.2,3.7
20100217,2,5,4.9,10.5,0.72,0.04,0.6,0.9,-3.8,5.6
20100218,2,6,4.8,9.6,0.79,0.0,3.6,4.9,2.5,8.4
20100219,2,6,5.9,12.8,0.78,0.01,0.2,4.4,-0.2,7.6
20100220,2,6,4.6,11.3,0.82,0.15,0.0,1.9,-0.1,4.3
20100221,2,7,3.7,10.7,0.85,0.0,0.1,2.6,0.2,5.6
20100222,2,7,6.8,16.5,0.83,0.65,1.0,6.8,2.9,11.3
20100223,2,8,4.3,12.3,0.92,0.54,0.0,4.2,2.7,9.9
20100224,2,6,4.6,10.8,0.82,0.27,2.7,8.9,3.4,12.4
20100225,2,7,6.8,14.0,0.8,0.15,0.1,9.3,7.9,11.4
20100226,2,6,6.8,16.6,0.8,0.27,0.2,8.2,4.6,11.1
20100227,2,6,5.7,13.6,0.68,0.07,1.9,7.7,3.6,12.7
20100228,2,8,10.6,29.1,0.79,0.54,0.1,7.4,4.4,11.8
20100301,3,6,6.0,14.4,0.81,0.0,1.9,4.6,-1.9,7.6
20100302,3,4,2.0,11.7,0.84,0.0,2.5,1.7,-3.2,8.3
20100303,3,3,2.1,10.2,0.76,0.0,8.2,1.4,-4.2,7.2
20100304,3,2,3.1,10.5,0.71,0.0,6.8,0.7,-4.5,5.8
20100305,3,6,4.0,13.6,0.8,0.7,1.7,0.5,-5.9,5.2
20100306,3,4,5.7,14.9,0.73,0.0,5.9,0.1,-3.5,1.9
20100307,3,1,4.1,10.7,0.6,0.0,10.2,-1.6,-5.7,2.8
20100308,3,4,2.0,6.7,0.64,0.0,3.0,-1.2,-6.4,3.5
20100309,3,0,4.2,11.2,0.59,0.0,10.3,-0.4,-6.7,3.8
20100310,3,2,6.0,13.6,0.54,0.0,10.3,1.4,-2.9,7.1
20100311,3,7,3.6,8.4,0.82,0.0,0.2,-0.8,-2.3,1.2
20100312,3,8,2.4,5.1,0.81,0.01,0.1,3.1,0.3,6.7
20100313,3,8,4.4,10.4,0.8,0.02,0.2,4.8,2.8,7.6
20100314,3,8,5.3,11.3,0.82,0.05,0.2,5.4,3.4,8.0
20100315,3,8,4.8,12.4,0.83,0.5,0.5,6.0,3.4,9.8
20100316,3,7,3.4,8.5,0.86,0.0,0.3,5.2,2.9,7.3
20100317,3,7,4.4,10.2,0.67,0.0,5.9,8.4,3.3,14.2
20100318,3,6,4.5,9.2,0.51,0.0,8.2,11.8,3.4,18.6
20100319,3,8,4.7,11.3,0.61,0.31,0.0,14.0,11.1,17.7
20100320,3,8,5.7,14.6,0.81,0.76,0.2,14.1,11.5,17.5
20100321,3,7,3.5,11.1,0.92,0.15,0.0,9.8,2.4,14.4
20100322,3,6,2.3,6.5,0.84,0.0,2.9,8.5,2.9,13.1
20100323,3,6,2.3,8.6,0.75,0.0,2.2,10.2,6.7,14.6
20100324,3,7,5.2,10.7,0.55,0.0,6.9,14.1,8.8,20.6
20100325,3,5,5.9,15.9,0.54,0.01,6.4,16.2,12.0,22.4
20100326,3,7,3.7,9.5,0.83,0.62,0.0,10.3,7.8,13.3
20100327,3,6,4.4,10.8,0.72,0.14,2.4,9.9,7.0,13.7
20100328,3,7,5.3,12.6,0.79,0.97,2.2,9.6,7.7,13.1
20100329,3,7,2.6,11.2,0.84,0.28,3.2,10.5,7.9,14.6
20100330,3,6,6.2,18.2,0.74,0.02,2.8,11.7,5.2,16.9
20100331,3,4,7.9,22.6,0.67,0.04,6.1,7.6,4.4,13.4
20100401,4,5,7.2,15.7,0.69,0.09,4.3,5.4,2.7,9.8
20100402,4,5,6.2,14.9,0.6,0.12,6.7,7.6,2.3,13.5
20100403,4,7,6.0,14.7,0.72,0.08,1.4,9.5,6.4,12.5
20100404,4,6,5.8,14.7,0.78,0.28,1.9,8.5,5.3,11.1
20100405,4,5,4.0,10.6,0.71,0.0,6.8,7.3,2.0,11.6
20100406,4,0,4.9,11.4,0.5,0.0,12.0,11.4,4.7,18.0
20100407,4,4,4.1,12.2,0.49,0.01,6.4,14.3,9.8,20.4
20100408,4,6,2.7,8.6,0.87,0.14,0.0,10.4,2.7,13.5
20100409,4,4,1.8,6.6,0.77,0.0,3.3,8.2,0.1,15.7
20100410,4,4,3.2,9.4,0.7,0.0,6.8,8.0,3.2,12.0
20100411,4,4,4.3,10.3,0.77,0.0,3.0,5.8,1.7,9.2
20100412,4,5,4.6,13.1,0.72,0.05,6.2,8.3,2.2,13.2
20100413,4,5,5.0,11.4,0.62,0.0,9.1,10.8,5.5,16.6
20100414,4,3,3.8,10.3,0.61,0.0,8.5,9.9,3.2,15.3
20100415,4,2,3.6,9.7,0.58,0.0,10.9,10.2,3.7,16.1
20100416,4,4,3.7,8.7,0.65,0.0,2.2,7.8,4.3,12.4
20100417,4,0,1.4,4.4,0.58,0.0,12.7,8.5,-1.7,17.8
20100418,4,0,1.8,6.3,0.51,0.0,12.5,12.0,1.4,20.9
20100419,4,3,2.6,8.6,0.69,0.0,6.8,9.0,2.0,15.2
20100420,4,2,4.3,12.3,0.64,0.0,8.1,8.9,1.7,16.2
20100421,4,5,3.4,9.8,0.61,0.0,4.6,6.9,-0.4,11.4
20100422,4,2,1.6,6.6,0.65,0.0,9.9,5.4,-2.5,12.6
20100423,4,2,1.7,7.0,0.55,0.0,12.9,8.6,-0.3,17.1
20100424,4,4,2.0,6.3,0.49,0.0,12.9,12.2,-0.2,20.9
20100425,4,4,3.5,12.8,0.46,0.18,7.9,16.9,5.5,25.9
20100426,4,5,3.7,9.7,0.79,0.0,2.5,12.6,5.6,18.2
20100427,4,4,1.4,5.5,0.75,0.0,6.7,11.9,4.4,19.1
20100428,4,4,2.9,7.8,0.53,0.0,11.5,16.4,7.2,22.9
20100429,4,7,4.1,9.8,0.44,0.0,6.9,20.5,14.5,26.9
20100430,4,6,5.3,14.6,0.67,0.0,1.6,14.6,7.5,20.9
20100501,5,5,3.7,10.6,0.66,0.0,6.4,12.7,7.3,18.6
20100502,5,6,2.0,15.4,0.87,0.39,0.9,9.8,5.3,16.1
20100503,5,7,2.4,9.2,0.86,0.0,0.2,7.9,3.1,10.6
20100504,5,5,4.9,11.0,0.68,0.0,4.7,8.4,3.6,12.7
20100505,5,5,4.1,12.5,0.64,0.0,9.2,7.5,0.7,13.1
20100506,5,7,4.4,12.2,0.81,1.81,0.1,7.2,5.3,9.4
20100507,5,8,2.2,6.0,0.91,0.19,0.0,6.0,4.1,8.1
20100508,5,6,1.7,4.8,0.8,0.0,0.4,8.7,3.2,13.5
20100509,5,5,2.5,7.6,0.75,0.0,4.5,10.4,3.3,16.0
20100510,5,7,3.3,6.9,0.68,0.0,1.0,9.4,7.0,12.6
20100511,5,7,4.2,10.5,0.8,1.18,0.1,7.3,3.8,9.3
20100512,5,8,3.6,7.0,0.92,0.0,0.0,6.6,5.5,7.8
20100513,5,8,1.4,4.0,0.87,0.02,0.0,7.4,6.0,9.2
20100514,5,8,1.9,4.9,0.82,0.0,0.1,8.8,6.3,11.0
20100515,5,7,3.0,9.3,0.67,0.0,4.5,10.3,6.6,14.3
20100516,5,4,3.6,9.6,0.62,0.0,6.3,12.1,5.6,18.2
20100517,5,6,2.7,10.0,0.83,0.24,1.7,9.8,5.1,14.9
20100518,5,3,3.2,8.7,0.7,0.0,8.2,10.2,2.6,15.8
20100519,5,6,4.6,10.9,0.64,0.0,3.0,12.0,6.7,17.1
20100520,5,3,3.8,10.5,0.6,0.0,10.8,14.5,8.7,20.7
20100521,5,2,2.4,8.3,0.68,0.0,10.1,15.5,8.4,21.7
20100522,5,4,2.6,6.4,0.7,0.0,13.8,15.2,7.2,22.6
20100523,5,2,2.0,5.9,0.75,0.0,10.9,16.2,8.2,24.2
20100524,5,1,4.0,13.3,0.65,0.0,12.4,19.1,11.4,26.1
20100525,5,5,3.2,7.7,0.6,0.0,5.8,15.8,12.2,20.5
20100526,5,7,3.6,9.0,0.8,1.34,0.9,10.3,8.1,12.3
20100527,5,6,1.6,5.5,0.74,0.1,4.3,12.8,8.7,17.6
20100528,5,4,3.0,10.4,0.66,0.0,9.2,14.0,6.4,19.3
20100529,5,6,3.7,12.2,0.59,0.53,8.4,14.9,5.4,21.8
20100530,5,7,4.9,18.3,0.89,1.0,1.8,12.6,6.7,16.7
20100531,5,8,3.4,8.3,0.9,0.1,0.1,12.0,8.8,13.9
20100601,6,8,2.1,4.9,0.81,0.0,2.1,14.0,9.9,18.8
20100602,6,4,3.3,10.3,0.69,0.0,7.5,15.6,7.5,20.4
20100603,6,0,3.5,10.4,0.59,0.0,15.1,17.0,9.3,23.6
20100604,6,1,2.1,6.8,0.59,0.0,15.1,17.8,9.3,25.1
20100605,6,3,1.4,5.3,0.57,0.0,13.6,19.1,8.3,27.9
20100606,6,6,2.5,10.7,0.68,0.28,7.6,20.1,11.4,28.4
20100607,6,6,4.7,10.1,0.71,0.0,6.3,16.9,11.6,21.7
20100608,6,6,2.8,9.7,0.77,0.63,1.7,17.6,11.1,23.9
20100609,6,7,2.3,6.0,0.83,0.34,2.2,18.4,16.5,22.1
20100610,6,7,2.2,10.7,0.81,0.39,1.0,20.1,15.9,23.6
20100611,6,4,5.8,14.7,0.7,0.0,11.5,20.4,14.0,26.4
20100612,6,6,2.2,7.1,0.81,0.2,0.2,14.8,10.3,17.3
20100613,6,4,1.7,6.2,0.69,0.0,8.9,13.7,6.0,19.5
20100614,6,5,2.6,8.1,0.58,0.0,11.5,17.4,9.6,23.4
20100615,6,4,5.3,10.7,0.58,0.0,13.4,15.4,11.0,19.7
20100616,6,3,5.5,15.7,0.56,0.0,14.2,16.4,9.2,23.2
20100617,6,5,4.3,13.4,0.52,0.0,13.6,17.9,10.6,24.6
20100618,6,6,4.2,11.1,0.74,0.01,1.0,14.0,11.1,19.4
20100619,6,7,4.0,10.8,0.69,0.12,1.8,12.1,9.6,15.4
20100620,6,7,3.6,8.5,0.75,0.0,0.2,12.2,9.1,15.7
20100621,6,7,2.1,6.4,0.64,0.0,0.9,13.6,10.6,17.7
20100622,6,4,1.5,5.1,0.63,0.0,9.9,15.6,7.4,21.9
20100623,6,2,1.5,7.4,0.57,0.0,15.2,18.0,7.5,26.0
20100624,6,2,1.9,7.7,0.55,0.0,12.6,20.7,9.4,28.4
20100625,6,4,2.6,10.2,0.57,0.0,11.6,20.3,13.3,25.7
20100626,6,2,2.0,6.7,0.52,0.0,15.1,20.3,11.1,26.9
20100627,6,2,1.8,7.8,0.51,0.0,14.9,22.3,11.5,30.7
20100628,6,4,2.3,7.4,0.5,0.0,13.0,23.9,14.5,30.4
20100629,6,4,2.3,10.1,0.6,0.01,6.5,21.6,14.8,28.5
20100630,6,5,2.1,8.0,0.6,0.0,12.4,22.2,13.3,29.4
20100701,7,6,3.3,9.0,0.5,0.0,11.1,25.2,15.8,31.8
20100702,7,5,3.8,8.5,0.37,0.0,13.5,28.4,21.8,34.8
20100703,7,6,3.4,9.3,0.6,0.12,8.9,25.7,20.1,33.7
20100704,7,4,2.9,9.1,0.65,0.0,10.2,22.7,17.6,28.0
20100705,7,5,3.2,12.3,0.67,0.32,5.0,19.0,13.2,24.4
20100706,7,4,2.7,9.5,0.59,0.0,8.9,17.7,11.7,23.4
20100707,7,3,1.8,6.6,0.51,0.0,12.9,19.8,9.2,27.1
20100708,7,4,2.7,7.5,0.41,0.0,14.8,25.4,18.3,32.2
20100709,7,3,3.2,9.5,0.43,0.0,12.0,27.9,15.5,35.7
20100710,7,2,2.6,12.3,0.49,0.36,12.4,28.9,19.5,36.0
20100711,7,4,2.8,7.6,0.64,0.0,11.0,26.8,20.6,33.5
20100712,7,5,4.3,24.2,0.68,1.98,7.6,24.2,18.4,33.2
20100713,7,4,2.6,10.1,0.62,0.0,7.2,22.9,15.5,28.8
20100714,7,4,4.7,25.5,0.61,1.23,10.2,24.4,18.5,34.4
20100715,7,2,6.9,16.8,0.53,0.0,11.7,20.8,14.8,25.8
20100716,7,2,4.9,16.6,0.49,0.93,12.0,23.4,16.4,30.3
20100717,7,4,3.6,10.5,0.69,0.0,10.4,19.3,13.2,22.9
20100718,7,1,1.6,5.7,0.59,0.0,13.8,18.2,10.2,24.7
20100719,7,1,1.8,6.4,0.52,0.0,14.4,21.3,11.0,29.6
20100720,7,5,3.0,10.3,0.4,0.0,13.7,25.2,16.1,31.7
20100721,7,5,3.9,8.6,0.56,0.31,7.0,23.7,18.9,30.9
20100722,7,7,2.6,7.1,0.74,0.01,0.6,19.9,15.4,23.4
20100723,7,4,2.4,14.0,0.66,0.0,8.5,19.4,12.7,26.2
20100724,7,5,3.9,9.9,0.61,0.0,5.8,17.5,9.7,22.0
20100725,7,7,2.7,8.1,0.77,0.45,1.9,15.4,9.2,21.7
20100726,7,7,2.6,7.0,0.91,2.24,0.1,16.4,15.0,18.4
20100727,7,6,2.5,7.9,0.74,0.36,6.0,18.2,14.0,23.2
20100728,7,6,4.1,9.0,0.72,0.06,4.9,19.4,15.2,23.9
20100729,7,7,2.8,10.0,0.85,0.86,1.0,15.7,14.3,19.5
20100730,7,4,2.6,9.0,0.7,0.0,8.8,18.2,12.8,23.7
20100731,7,6,4.8,10.9,0.64,0.01,1.5,20.1,15.1,26.5
20100801,8,6,3.1,8.3,0.7,0.0,3.6,20.4,14.5,25.6
20100802,8,6,1.9,10.0,0.81,0.13,0.6,17.0,13.8,21.3
20100803,8,5,3.0,9.5,0.71,0.01,8.7,17.7,14.3,22.3
20100804,8,7,4.6,12.9,0.76,0.29,0.9,17.8,15.4,21.5
20100805,8,6,3.1,9.8,0.75,0.0,4.0,16.8,14.4,20.9
20100806,8,2,1.5,5.6,0.65,0.0,11.2,16.7,9.4,22.9
20100807,8,6,3.1,7.9,0.59,0.84,7.5,19.3,12.1,26.1
20100808,8,7,2.5,10.0,0.86,1.24,1.1,17.6,15.5,20.4
20100809,8,6,1.7,4.1,0.78,0.0,2.0,17.4,13.2,22.6
20100810,8,5,3.4,9.3,0.68,1.09,6.1,20.0,12.6,26.5
20100811,8,7,3.6,8.9,0.8,0.09,2.1,18.9,16.2,22.8
20100812,8,5,2.3,8.0,0.67,0.0,8.0,17.9,12.9,23.3
20100813,8,5,1.9,6.5,0.75,0.0,4.1,16.3,11.9,21.3
20100814,8,2,1.9,6.4,0.67,0.0,11.8,18.4,9.4,25.2
20100815,8,8,3.9,11.5,0.84,2.97,0.0,16.9,16.0,18.6
20100816,8,7,2.2,6.9,0.85,1.14,0.0,17.4,15.5,19.6
20100817,8,8,5.8,15.7,0.88,0.08,0.0,15.7,14.1,17.1
20100818,8,7,4.6,12.5,0.82,0.23,2.1,16.6,14.0,21.6
20100819,8,4,3.9,9.6,0.7,0.0,6.7,16.6,11.6,21.7
20100820,8,2,3.7,9.1,0.62,0.0,13.0,20.7,13.7,27.6
20100821,8,2,2.6,7.8,0.7,0.0,11.5,22.2,16.8,27.6
20100822,8,6,2.1,8.8,0.82,0.89,1.8,21.1,17.1,25.4
20100823,8,6,5.6,18.3,0.81,1.17,1.8,20.2,17.3,23.9
20100824,8,3,6.5,14.6,0.65,0.0,7.9,17.2,14.1,20.1
20100825,8,5,4.4,9.4,0.68,1.48,6.5,16.8,12.2,21.1
20100826,8,8,5.4,11.5,0.85,1.07,0.0,19.3,14.7,22.4
20100827,8,8,4.2,11.0,0.87,0.92,0.2,16.4,12.2,19.5
20100828,8,5,3.5,14.7,0.78,0.78,4.9,13.6,10.5,17.6
20100829,8,7,5.9,19.5,0.84,1.48,0.4,12.9,9.6,16.6
20100830,8,6,4.7,12.5,0.82,0.41,4.9,13.0,9.4,17.2
20100831,8,3,2.5,7.2,0.76,0.01,8.4,14.2,8.6,19.4
20100901,9,4,1.4,5.7,0.81,0.0,1.9,12.7,6.5,16.9
20100902,9,5,1.6,5.3,0.82,0.0,5.0,13.2,7.0,18.2
20100903,9,5,1.2,4.8,0.82,0.0,2.3,13.7,8.4,19.7
20100904,9,3,1.8,7.6,0.8,0.0,6.0,12.7,7.7,19.8
20100905,9,2,2.4,6.9,0.71,0.0,10.1,13.2,5.4,19.6
20100906,9,3,4.3,12.5,0.6,0.02,10.8,15.0,7.0,20.8
20100907,9,8,4.6,11.5,0.74,0.33,0.0,13.6,11.3,16.0
20100908,9,7,5.6,14.3,0.8,0.04,3.8,16.3,12.6,20.2
20100909,9,6,3.3,8.2,0.86,0.65,0.4,15.0,11.8,18.6
20100910,9,7,3.6,8.2,0.87,0.06,0.2,15.5,12.2,19.0
20100911,9,6,3.9,9.4,0.76,0.0,9.3,18.1,14.2,23.4
20100912,9,7,2.3,7.4,0.87,0.2,0.0,15.3,12.2,18.2
20100913,9,6,3.0,7.8,0.79,0.06,5.1,14.3,8.2,18.6
20100914,9,8,6.9,14.6,0.78,0.54,0.0,16.7,13.9,18.9
20100915,9,5,6.1,15.8,0.7,0.59,7.5,14.5,12.2,17.8
20100916,9,5,4.6,11.3,0.85,0.66,4.2,12.2,7.3,16.7
20100917,9,5,3.5,15.4,0.87,0.82,2.3,11.2,7.2,14.8
20100918,9,5,2.5,6.4,0.79,0.0,3.5,10.8,5.7,15.1
20100919,9,6,3.9,9.3,0.79,0.0,0.9,11.6,6.1,16.4
20100920,9,6,4.6,10.7,0.67,0.0,6.9,15.2,10.1,20.2
20100921,9,4,2.1,6.0,0.77,0.0,6.7,15.5,10.5,21.5
20100922,9,3,2.7,7.8,0.75,0.0,10.9,16.8,8.8,23.7
20100923,9,6,4.0,10.3,0.71,0.44,9.3,18.3,13.5,23.8
20100924,9,8,2.9,7.7,0.9,0.53,0.0,15.0,12.5,16.3
20100925,9,4,4.1,10.3,0.73,0.0,6.7,12.0,6.4,16.0
20100926,9,6,2.4,5.7,0.8,0.0,1.6,11.1,6.4,15.5
20100927,9,7,2.3,6.2,0.91,1.24,0.0,9.7,6.7,11.2
20100928,9,8,1.6,4.0,0.94,0.22,0.0,11.6,9.0,13.5
20100929,9,4,1.9,5.5,0.8,0.0,7.3,10.5,6.2,15.8
20100930,9,7,3.8,10.3,0.87,0.35,0.0,11.5,7.5,13.2
20101001,10,6,3.5,9.3,0.85,0.76,4.2,12.3,7.3,17.1
20101002,10,8,6.2,13.0,0.86,0.04,0.3,14.4,11.2,18.1
20101003,10,4,7.0,14.6,0.7,0.0,6.6,18.6,15.3,23.2
20101004,10,5,4.7,10.8,0.71,0.01,6.6,17.5,15.2,21.3
20101005,10,6,3.7,9.7,0.81,0.01,1.5,16.9,15.0,19.6
20101006,10,7,5.1,14.0,0.77,0.03,1.2,16.9,14.3,20.2
20101007,10,7,1.8,5.6,0.85,0.0,3.1,16.4,12.5,21.4
20101008,10,5,3.2,9.3,0.82,0.0,2.1,15.0,10.8,18.3
20101009,10,1,2.7,10.4,0.73,0.0,10.0,13.1,6.2,20.4
20101010,10,0,2.8,7.6,0.68,0.0,9.9,12.0,4.9,19.6
20101011,10,1,3.7,8.6,0.67,0.0,9.8,10.2,3.9,16.5
20101012,10,2,2.6,7.2,0.9,0.0,3.2,5.2,2.6,8.7
20101013,10,2,2.4,8.1,0.83,0.0,8.9,6.2,0.9,11.4
20101014,10,6,1.1,3.2,0.9,0.0,0.0,6.2,-1.1,10.9
20101015,10,8,2.2,7.4,0.88,0.99,0.0,10.5,8.9,13.0
20101016,10,8,4.3,12.7,0.87,0.11,0.0,8.0,6.3,9.8
20101017,10,8,2.7,6.5,0.83,0.0,0.0,6.5,5.2,7.6
20101018,10,6,3.0,9.1,0.77,0.0,4.8,8.1,6.5,10.9
20101019,10,7,4.4,12.7,0.85,0.61,1.7,8.8,6.7,12.1
20101020,10,5,4.3,12.5,0.84,0.12,3.1,6.6,3.5,10.8
20101021,10,3,5.3,13.1,0.74,0.0,7.9,5.5,2.7,10.1
20101022,10,6,4.7,9.6,0.73,0.0,2.9,6.8,3.3,10.1
20101023,10,6,5.9,15.5,0.76,0.21,1.9,6.6,3.0,9.2
20101024,10,4,4.7,11.0,0.8,0.0,4.5,7.2,-0.1,11.8
20101025,10,2,1.7,7.7,0.83,0.0,6.4,3.8,-1.6,10.8
20101026,10,5,2.9,7.3,0.79,0.04,3.8,5.4,-1.1,9.7
20101027,10,8,5.5,14.9,0.76,0.29,0.3,8.7,6.1,11.1
20101028,10,7,4.6,9.9,0.81,0.0,0.0,9.8,7.1,11.9
20101029,10,6,6.1,13.1,0.71,0.0,4.6,11.0,6.1,15.4
20101030,10,6,4.5,10.1,0.74,0.02,0.3,11.6,6.1,14.0
20101031,10,6,2.2,8.3,0.91,0.46,1.1,9.2,4.9,14.3
20101101,11,8,1.7,5.6,0.95,0.0,0.0,7.7,6.2,8.4
